movie_name,budget,revenue
The Shawshank Redemption,25000000,
The Godfather,6000000,
The Dark Knight,185000000,
The Godfather Part II,6000000,
12 Angry Men,340000,
Schindler's List,,
The Lord of the Rings: The Return of the King,94000000,
Pulp Fiction,8000000,
The Lord of the Rings: The Fellowship of the Ring,93000000,
"The Good, the Bad and the Ugly",1200000,
Forrest Gump,55000000,
Fight Club,63000000,
The Lord of the Rings: The Two Towers,94000000,
Inception,160000000,
Star Wars: Episode V - The Empire Strikes Back,,
The Matrix,63000000,
Goodfellas,25000000,
One Flew Over the Cuckoo's Nest,3000000,
Se7en,,
Seven Samurai,210000000,
It's a Wonderful Life,3180000,
The Silence of the Lambs,19000000,
City of God,3300000,
Saving Private Ryan,70000000,
Interstellar,,
Life Is Beautiful,,
The Green Mile,60000000,
Star Wars: Episode IV - A New Hope,,
Terminator 2: Judgment Day,102000000,
Back to the Future,,
Spirited Away,2000000000,
The Pianist,35000000,
Psycho,800000,
Parasite,,
Léon: The Professional,16000000,
The Lion King,45000000,
Gladiator,103000000,
American History X,,
The Departed,90000000,
The Usual Suspects,,
The Prestige,40000000,
Whiplash,,
Casablanca,,
Grave of the Fireflies,,
Harakiri,,
The Intouchables,11500000,
Modern Times,1500000,
Once Upon a Time in the West,5000000,
Rear Window,1000000,
Cinema Paradiso,5000000,
Alien,11000000,
City Lights,1500000,
Apocalypse Now,31500000,
Memento,9000000,
Django Unchained,100000000,
Indiana Jones and the Raiders of the Lost Ark,,
WALL·E,,
The Lives of Others,,
Sunset Blvd.,,
Paths of Glory,935000,
The Shining,19000000,
The Great Dictator,2000000,
Avengers: Infinity War,400000000,
Witness for the Prosecution,,
Aliens,11000000,
Spider-Man: Into the Spider-Verse,90000000,
American Beauty,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,
The Dark Knight Rises,185000000,
Oldboy,3000000,
Inglourious Basterds,70000000,
Amadeus,,
Coco,,
Toy Story,30000000,
Joker,,
Braveheart,65000000,
The Boat,,
Avengers: Endgame,356000000,
Princess Mononoke,2100000000,
Once Upon a Time in America,30000000,
Good Will Hunting,10000000,
Your Name.,,
3 Idiots,350000000,
Singin' in the Rain,2540000,
Requiem for a Dream,,
Toy Story 3,30000000,
High and Low,230000000,
Capernaum,,
Star Wars: Episode VI - Return of the Jedi,,
Eternal Sunshine of the Spotless Mind,20000000,
2001: A Space Odyssey,10500000,
Reservoir Dogs,1200000,
Come and See,,
The Hunt,,
Citizen Kane,839727,
M,25000000,
Lawrence of Arabia,15000000,
North by Northwest,4300000,
Vertigo,,
Ikiru,,
Amélie,,
The Apartment,,
A Clockwork Orange,2200000,
Double Indemnity,,
Full Metal Jacket,,
Top Gun: Maverick,,
Scarface,25000000,
Hamilton,,
Incendies,6800000,
To Kill a Mockingbird,,
Heat,,
The Sting,5500000,
Up,5000000,
A Separation,800000,
Metropolis,,
Taxi Driver,1900000,
L.A. Confidential,,
Die Hard,28000000,
Snatch,,
Indiana Jones and the Last Crusade,48000000,
Bicycle Thieves,133000,
Like Stars on Earth,,
1917,,
Downfall,13500000,
Dangal,,
For a Few Dollars More,,
Batman Begins,,
The Kid,,
Some Like It Hot,,
The Father,,
All About Eve,1400000,
The Wolf of Wall Street,100000000,
Green Book,,
Judgment at Nuremberg,,
Casino,50000000,
Ran,,
Pan's Labyrinth,13000000,
The Truman Show,,
There Will Be Blood,25000000,
Unforgiven,14400000,
The Sixth Sense,40000000,
Shutter Island,80000000,
A Beautiful Mind,,
Jurassic Park,63000000,
Yojimbo,,
The Treasure of the Sierra Madre,,
Monty Python and the Holy Grail,,
The Great Escape,,
No Country for Old Men,,
Spider-Man: No Way Home,,
Kill Bill: Vol. 1,,
Rashomon,,
The Thing,15000000,
Finding Nemo,,
The Elephant Man,,
Chinatown,,
Raging Bull,,
V for Vendetta,54000000,
Gone with the Wind,,
"Lock, Stock and Two Smoking Barrels",,
Inside Out,,
Dial M for Murder,,
The Secret in Their Eyes,2000000,
Howl's Moving Castle,,
"Three Billboards Outside Ebbing, Missouri",,
The Bridge on the River Kwai,3000000,
Trainspotting,,
Prisoners,,
Warrior,,
Fargo,,
Gran Torino,,
My Neighbor Totoro,,
Catch Me If You Can,,
Million Dollar Baby,,
Children of Heaven,180000,
Blade Runner,28000000,
The Gold Rush,923000,
Before Sunrise,2500000,
12 Years a Slave,20000000,
Klaus,,
Harry Potter and the Deathly Hallows: Part 2,,
On the Waterfront,910000,
Ben-Hur,,
Gone Girl,,
The Grand Budapest Hotel,,
Wild Strawberries,,
The General,,
The Third Man,,
In the Name of the Father,,
The Deer Hunter,15000000,
Barry Lyndon,11000000,
Hacksaw Ridge,40000000,
The Wages of Fear,,
Memories of Murder,,
Sherlock Jr.,,
Wild Tales,,
Mr. Smith Goes to Washington,,
Mad Max: Fury Road,,
The Seventh Seal,,
Mary and Max,,
How to Train Your Dragon,165000000,
Room,,
"Monsters, Inc.",,
Jaws,,
Dead Poets Society,16400000,
The Big Lebowski,15000000,
Tokyo Story,,
The Passion of Joan of Arc,,
Hotel Rwanda,17500000,
Ford v Ferrari,97600000,
Rocky,1000000,
Platoon,6000000,
Ratatouille,150000000,
Spotlight,,
The Terminator,,
Logan,,
Stand by Me,,
Rush,923000,
Network,3800000,
Into the Wild,,
Before Sunset,2700000,
The Wizard of Oz,2777000,
Pather Panchali,150000,
Groundhog Day,14600000,
The Best Years of Our Lives,,
The Exorcist,12000000,
The Incredibles,92000000,
To Be or Not to Be,,
La haine,,
The Battle of Algiers,806735,
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,
Hachi: A Dog's Tale,,
The Grapes of Wrath,,
Jai Bhim,,
My Father and My Son,,
Amores Perros,,
Rebecca,,
Cool Hand Luke,,
The Handmaiden,,
The 400 Blows,,
The Sound of Music,,
It Happened One Night,325000,
Persona,,
Life of Brian,,
The Iron Giant,70000000,
The Help,25000000,
Dersu Uzala,4000000,
Aladdin,,
Gandhi,22000000,
Dances with Wolves,22000000,
Kantara,,
The Empire Strikes Back,,
Star Wars,,
Seppuku,,
Shichinin no samurai,,
Kaithi,,
Asuran,,
Sita Ramam,,
Léon,16000000,
Vikram,,
K.G.F: Chapter 2,,
Shershaah,,
Oldeuboi,,
Mononoke-hime,,
Raiders of the Lost Ark,,
Vikram Vedha,,
Major,,
Uri: The Surgical Strike,,
K.G.F: Chapter 1,,
Dag II,,
Baahubali 2: The Conclusion,,
Gangs of Wasseypur,,
Paan Singh Tomar,,
Kimetsu no Yaiba: Mugen Ressha-Hen,,
Yôjinbô,,
Everything Everywhere All at Once,25000000,
Bajrangi Bhaijaan,,
A Wednesday,,
Hera Pheri,,
Sarfarosh,,
Sholay,,
Kakushi-toride no san-akunin,,
White Heat,,
RRR (Rise Roar Revolt),,
Arjun Reddy,,
Kaththi,,
Haider,,
Bãhubali: The Beginning,,
1 - Nenokkadine,,
Thuppakki,175000000,
Guardians of the Galaxy,,
Blade Runner 2049,28000000,
The Revenant,,
Tropa de Elite 2: O Inimigo Agora é Outro,,
Deadpool,,
Karthikeya 2,,
Zack Snyder's Justice League,,
Ip Man,,
Nefes: Vatan Sagolsun,,
Dune: Part One,,
Tropa de Elite,,
The Avengers,,
The Bourne Ultimatum,,
Taegukgi hwinalrimyeo,,
Casino Royale,50000000,
Kill Bill: Vol. 2,,
Mou gaan dou,,
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",,
Andaz Apna Apna,,
Akira,,
Sanjuro,,
Minnal Murali,,
Airlift,,
Baby,,
Thor: Ragnarok,180000000,
Serbuan maut 2: Berandal,,
Vishwaroopam,,
X-Men: Days of Future Past,,
The Batman,,
Edge of Tomorrow,,
District 9,30000000,
Star Trek,,
Letters from Iwo Jima,,
Iron Man,,
Ying xiong,,
The Bourne Identity,60000000,
Children of Men,,
Wo hu cang long,,
Knockin' on Heaven's Door,,
Kôkaku Kidôtai,,
The Blues Brothers,270000,
The Wild Bunch,6000000,
Per un pugno di dollari,,
The Adventures of Robin Hood,2033000,
The Gentlemen,,
Doragon bôru chô: Burorî,,
Dunkirk,,
Rogue One,200000000,
Captain America: Civil War,,
Star Wars: Episode VII - The Force Awakens,,
Big Hero 6,,
Captain America: The Winter Soldier,,
How to Train Your Dragon 2,165000000,
Ang-ma-reul bo-at-da,,
Captain Phillips,55000000,
Thirteen Lives,55000000,
Chugyeokja,,
Skyfall,200000000,
