person_name,birth_date,death_date,start_activity,end_activity
Lewis Milestone,1895-09-30T00:00:00Z,1980-09-25T00:00:00Z,1918-01-01T00:00:00Z,
Frank Lloyd,,,,
Norman Taurog,,,,
Frank Borzage,,,,
Frank Capra,1897-05-18T00:00:00Z,1991-09-03T00:00:00Z,1922-01-01T00:00:00Z,
John Ford,1894-02-01T00:00:00Z,1973-08-31T00:00:00Z,1913-01-01T00:00:00Z,
Leo McCarey,,,,
Victor Fleming,1889-02-23T00:00:00Z,1949-01-06T00:00:00Z,1910-01-01T00:00:00Z,1948-01-01T00:00:00Z
William Wyler,1902-07-01T00:00:00Z,1981-07-27T00:00:00Z,1925-01-01T00:00:00Z,1970-01-01T00:00:00Z
Michael Curtiz,1886-12-24T00:00:00Z,1962-04-10T00:00:00Z,1912-01-01T00:00:00Z,
Jerome Robbins,1918-10-11T00:00:00Z,1998-07-29T00:00:00Z,1937-01-01T00:00:00Z,
Billy Wilder,1906-06-22T00:00:00Z,2002-03-27T00:00:00Z,1929-01-01T00:00:00Z,
Elia Kazan,1909-09-07T00:00:00Z,2003-09-28T00:00:00Z,1934-01-01T00:00:00Z,
John Huston,1906-08-05T00:00:00Z,1987-08-28T00:00:00Z,1930-01-01T00:00:00Z,1987-01-01T00:00:00Z
Joseph L. Mankiewicz,1909-02-11T00:00:00Z,1993-02-05T00:00:00Z,1929-01-01T00:00:00Z,
George Stevens,1904-12-18T00:00:00Z,1975-03-08T00:00:00Z,1810-01-01T00:00:00Z,1875-01-01T00:00:00Z
Fred Zinnemann,1907-04-29T00:00:00Z,1997-03-14T00:00:00Z,1932-01-01T00:00:00Z,
Delbert Mann,1920-01-30T00:00:00Z,2007-11-11T00:00:00Z,1949-01-01T00:00:00Z,
David Lean,1908-03-25T00:00:00Z,1991-04-16T00:00:00Z,1934-01-01T00:00:00Z,
Vincente Minnelli,,,,
Robert Wise,1914-09-10T00:00:00Z,2005-09-14T00:00:00Z,1942-01-01T00:00:00Z,
Tony Richardson,1928-06-05T00:00:00Z,1991-11-14T00:00:00Z,1952-01-01T00:00:00Z,
George Cukor,1899-07-07T00:00:00Z,1983-01-24T00:00:00Z,1930-01-01T00:00:00Z,1981-01-01T00:00:00Z
Mike Nichols,1931-11-06T00:00:00Z,2014-11-19T00:00:00Z,1955-01-01T00:00:00Z,2014-01-01T00:00:00Z
Joel Coen,,,,
Carol Reed,1906-12-30T00:00:00Z,1976-04-25T00:00:00Z,1935-01-01T00:00:00Z,
John Schlesinger,1926-02-16T00:00:00Z,2003-07-25T00:00:00Z,1953-01-01T00:00:00Z,
Franklin J. Schaffner,,,,
William Friedkin,1935-08-29T00:00:00Z,,1962-01-01T00:00:00Z,
Bob Fosse,1927-06-23T00:00:00Z,1987-09-23T00:00:00Z,1947-01-01T00:00:00Z,
George Roy Hill,1921-12-20T00:00:00Z,2002-12-27T00:00:00Z,1948-01-01T00:00:00Z,
Francis Ford Coppola,1939-04-07T00:00:00Z,,1963-01-01T00:00:00Z,
Milos Forman,,,,
John G. Avildsen,1935-12-21T00:00:00Z,2017-06-16T00:00:00Z,1968-01-01T00:00:00Z,
Woody Allen,1935-12-01T00:00:00Z,,1950-01-01T00:00:00Z,
Michael Cimino,1939-02-03T00:00:00Z,2016-07-02T00:00:00Z,1974-01-01T00:00:00Z,
Robert Benton,,,,
Robert Redford,1936-08-18T00:00:00Z,,1960-01-01T00:00:00Z,
Warren Beatty,1937-03-30T00:00:00Z,,1956-01-01T00:00:00Z,
Richard Attenborough,1923-08-29T00:00:00Z,2014-08-24T00:00:00Z,1942-01-01T00:00:00Z,2007-01-01T00:00:00Z
James L. Brooks,1940-05-09T00:00:00Z,,1965-01-01T00:00:00Z,
Sydney Pollack,1934-07-01T00:00:00Z,2008-05-26T00:00:00Z,1950-01-01T00:00:00Z,2008-01-01T00:00:00Z
Oliver Stone,1946-09-15T00:00:00Z,,1971-01-01T00:00:00Z,
Bernardo Bertolucci,1941-03-16T00:00:00Z,2018-11-26T00:00:00Z,1962-01-01T00:00:00Z,
Barry Levinson,1942-04-06T00:00:00Z,,1970-01-01T00:00:00Z,
Kevin Costner,1955-01-18T00:00:00Z,,1974-01-01T00:00:00Z,
Jonathan Demme,1944-02-22T00:00:00Z,2017-04-26T00:00:00Z,1971-01-01T00:00:00Z,2017-01-01T00:00:00Z
Clint Eastwood,1930-05-31T00:00:00Z,,1955-01-01T00:00:00Z,
Steven Spielberg,1946-12-18T00:00:00Z,,1959-01-01T00:00:00Z,
Robert Zemeckis,1952-05-14T00:00:00Z,,1972-01-01T00:00:00Z,
Mel Gibson,1956-01-03T00:00:00Z,,1977-01-01T00:00:00Z,
Anthony Minghella,1954-01-06T00:00:00Z,2008-03-18T00:00:00Z,1981-01-01T00:00:00Z,2008-01-01T00:00:00Z
James Cameron,1954-08-16T00:00:00Z,,1978-01-01T00:00:00Z,
Sam Mendes,1965-08-01T00:00:00Z,,1993-01-01T00:00:00Z,
Steven Soderbergh,1963-01-14T00:00:00Z,,1981-01-01T00:00:00Z,
Ron Howard,1982-11-14T00:00:00Z,,2006-01-01T00:00:00Z,
Roman Polanski,1933-08-18T00:00:00Z,,1953-01-01T00:00:00Z,
Peter Jackson,1961-10-31T00:00:00Z,,1987-01-01T00:00:00Z,
Ang Lee,1954-10-23T00:00:00Z,,1992-01-01T00:00:00Z,
Martin Scorsese,1942-11-17T00:00:00Z,,1959-01-01T00:00:00Z,
Ethan Coen,,,,
Danny Boyle,1956-01-01T00:00:00Z,,1980-01-01T00:00:00Z,
Kathryn Bigelow,1951-11-27T00:00:00Z,,1978-01-01T00:00:00Z,
Tom Hooper,1972-10-05T00:00:00Z,,1990-01-01T00:00:00Z,
Michel Hazanavicius,1967-03-29T00:00:00Z,,1988-01-01T00:00:00Z,
Emil Jannings,1884-07-23T00:00:00Z,1950-01-02T00:00:00Z,1914-01-01T00:00:00Z,1945-01-01T00:00:00Z
Warner Baxter,1889-03-29T00:00:00Z,1951-05-07T00:00:00Z,1914-01-01T00:00:00Z,
George Arliss,1868-04-10T00:00:00Z,1946-02-05T00:00:00Z,1887-01-01T00:00:00Z,
Lionel Barrymore,1878-04-28T00:00:00Z,1954-11-15T00:00:00Z,1893-01-01T00:00:00Z,1954-01-01T00:00:00Z
Wallace Beery,1885-04-01T00:00:00Z,1949-04-15T00:00:00Z,1913-01-01T00:00:00Z,1949-01-01T00:00:00Z
Charles Laughton,1899-07-01T00:00:00Z,1962-12-15T00:00:00Z,1925-01-01T00:00:00Z,1962-01-01T00:00:00Z
Clark Gable,1901-02-01T00:00:00Z,1960-11-16T00:00:00Z,1923-01-01T00:00:00Z,
Victor McLaglen,1886-12-10T00:00:00Z,1959-11-07T00:00:00Z,1920-01-01T00:00:00Z,
Paul Muni,1895-09-22T00:00:00Z,1967-08-25T00:00:00Z,1908-01-01T00:00:00Z,
Spencer Tracy,1900-04-05T00:00:00Z,1967-06-10T00:00:00Z,1921-01-01T00:00:00Z,1967-01-01T00:00:00Z
Robert Donat,1905-03-18T00:00:00Z,1958-06-09T00:00:00Z,1921-01-01T00:00:00Z,
Jimmy Stewart,1937-10-08T00:00:00Z,,1952-01-01T00:00:00Z,
Gary Cooper,1901-05-07T00:00:00Z,1961-05-13T00:00:00Z,1925-01-01T00:00:00Z,1961-01-01T00:00:00Z
James Cagney,1899-07-17T00:00:00Z,1986-03-30T00:00:00Z,1919-01-01T00:00:00Z,1984-01-01T00:00:00Z
Paul Lukas,1894-05-26T00:00:00Z,1971-08-15T00:00:00Z,1916-01-01T00:00:00Z,1970-01-01T00:00:00Z
Bing Crosby,1903-05-03T00:00:00Z,1977-10-14T00:00:00Z,1926-01-01T00:00:00Z,
Ray Milland,1907-01-03T00:00:00Z,1986-03-10T00:00:00Z,1929-01-01T00:00:00Z,1985-01-01T00:00:00Z
Fredric March,1897-08-31T00:00:00Z,1975-04-14T00:00:00Z,1921-01-01T00:00:00Z,
Ronald Colman,1891-02-09T00:00:00Z,1958-05-19T00:00:00Z,1914-01-01T00:00:00Z,
Laurence Olivier,1907-05-22T00:00:00Z,1989-07-11T00:00:00Z,1926-01-01T00:00:00Z,
Broderick Crawford,1911-12-09T00:00:00Z,1986-04-26T00:00:00Z,1937-01-01T00:00:00Z,
Jose Ferrer,,,,
Humphrey Bogart,1899-12-25T00:00:00Z,1957-01-14T00:00:00Z,1921-01-01T00:00:00Z,
William Holden,1918-04-17T00:00:00Z,1981-11-12T00:00:00Z,1939-01-01T00:00:00Z,1981-01-01T00:00:00Z
Marlon Brando,1924-04-03T00:00:00Z,2004-07-01T00:00:00Z,1944-01-01T00:00:00Z,2001-01-01T00:00:00Z
Ernest Borgnine,1917-01-24T00:00:00Z,2012-07-08T00:00:00Z,1951-01-01T00:00:00Z,2012-01-01T00:00:00Z
Yul Brynner,1920-07-11T00:00:00Z,1985-10-10T00:00:00Z,1941-01-01T00:00:00Z,1985-01-01T00:00:00Z
Alec Guinness,1914-04-02T00:00:00Z,2000-08-05T00:00:00Z,1934-01-01T00:00:00Z,
David Niven,1910-03-01T00:00:00Z,1983-07-29T00:00:00Z,1935-01-01T00:00:00Z,1983-01-01T00:00:00Z
Charlton Heston,1923-10-04T00:00:00Z,2008-04-05T00:00:00Z,1950-01-01T00:00:00Z,2003-01-01T00:00:00Z
Burt Lancaster,1913-11-02T00:00:00Z,1994-10-20T00:00:00Z,1945-01-01T00:00:00Z,1991-01-01T00:00:00Z
Maximilian Schell,1930-12-08T00:00:00Z,2014-02-01T00:00:00Z,1953-01-01T00:00:00Z,2014-01-01T00:00:00Z
Gregory Peck,1916-04-05T00:00:00Z,2003-06-12T00:00:00Z,1942-01-01T00:00:00Z,
Sidney Poitier,1927-02-20T00:00:00Z,2022-01-06T00:00:00Z,1943-01-01T00:00:00Z,2001-01-01T00:00:00Z
Rex Harrison,1908-03-05T00:00:00Z,1990-06-02T00:00:00Z,1930-01-01T00:00:00Z,
Lee Marvin,1924-02-19T00:00:00Z,1987-08-29T00:00:00Z,1948-01-01T00:00:00Z,
Paul Scofield,1922-01-21T00:00:00Z,2008-03-19T00:00:00Z,1940-01-01T00:00:00Z,
Rod Steiger,1925-04-14T00:00:00Z,2002-07-09T00:00:00Z,1950-01-01T00:00:00Z,
Cliff Robertson,1923-09-09T00:00:00Z,2011-09-10T00:00:00Z,1943-01-01T00:00:00Z,2007-01-01T00:00:00Z
John Wayne,1907-05-26T00:00:00Z,1979-06-11T00:00:00Z,1926-01-01T00:00:00Z,1976-01-01T00:00:00Z
George C. Scott,1927-10-18T00:00:00Z,1999-09-22T00:00:00Z,1958-01-01T00:00:00Z,1999-01-01T00:00:00Z
Gene Hackman,1930-01-30T00:00:00Z,,1961-01-01T00:00:00Z,2008-01-01T00:00:00Z
Jack Lemmon,1925-02-08T00:00:00Z,2001-06-27T00:00:00Z,1949-01-01T00:00:00Z,2000-01-01T00:00:00Z
Art Carney,1918-11-04T00:00:00Z,2003-11-09T00:00:00Z,1939-01-01T00:00:00Z,
Jack Nicholson,1937-04-22T00:00:00Z,,1956-01-01T00:00:00Z,2010-01-01T00:00:00Z
Peter Finch,1916-09-28T00:00:00Z,1977-01-14T00:00:00Z,1934-01-01T00:00:00Z,
Richard Dreyfuss,1947-10-29T00:00:00Z,,1964-01-01T00:00:00Z,
Jon Voight,1938-12-29T00:00:00Z,,1963-01-01T00:00:00Z,
Dustin Hoffman,1937-08-08T00:00:00Z,,1967-01-01T00:00:00Z,
Robert De Niro,1943-08-17T00:00:00Z,,1963-01-01T00:00:00Z,
Henry Fonda,1905-05-16T00:00:00Z,1982-08-12T00:00:00Z,1928-01-01T00:00:00Z,1981-01-01T00:00:00Z
Ben Kingsley,1943-12-31T00:00:00Z,,1966-01-01T00:00:00Z,
Robert Duvall,1931-01-05T00:00:00Z,,1952-01-01T00:00:00Z,
F. Murray Abraham,1939-10-24T00:00:00Z,,1959-01-01T00:00:00Z,
William Hurt,1950-03-20T00:00:00Z,2022-03-13T00:00:00Z,1977-01-01T00:00:00Z,2022-01-01T00:00:00Z
Paul Newman,1925-01-26T00:00:00Z,2008-09-26T00:00:00Z,1954-01-01T00:00:00Z,
Michael Douglas,1944-09-25T00:00:00Z,,1966-01-01T00:00:00Z,
Daniel Day-Lewis,1957-04-29T00:00:00Z,,1971-01-01T00:00:00Z,
Jeremy Irons,1948-09-19T00:00:00Z,,1969-01-01T00:00:00Z,
Anthony Hopkins,1937-12-31T00:00:00Z,,1960-01-01T00:00:00Z,
Al Pacino,1940-04-25T00:00:00Z,,1963-01-01T00:00:00Z,
Tom Hanks,1956-07-09T00:00:00Z,,1977-01-01T00:00:00Z,
Nicolas Cage,1964-01-07T00:00:00Z,,1981-01-01T00:00:00Z,
Geoffrey Rush,1951-07-06T00:00:00Z,,1971-01-01T00:00:00Z,
Roberto Benigni,1952-10-27T00:00:00Z,,1996-01-01T00:00:00Z,
Kevin Spacey,1959-07-26T00:00:00Z,,1986-01-01T00:00:00Z,
Russell Crowe,1964-04-07T00:00:00Z,,1985-01-01T00:00:00Z,
Denzel Washington,1954-12-28T00:00:00Z,,1974-01-01T00:00:00Z,
Adrien Brody,1973-04-14T00:00:00Z,,1988-01-01T00:00:00Z,
Sean Penn,1960-08-17T00:00:00Z,,1974-01-01T00:00:00Z,
Jamie Foxx,1967-12-13T00:00:00Z,,1989-01-01T00:00:00Z,
Philip Seymour Hoffman,1967-07-23T00:00:00Z,2014-02-02T00:00:00Z,1991-01-01T00:00:00Z,
Forest Whitaker,1961-07-15T00:00:00Z,,1982-01-01T00:00:00Z,
Jeff Bridges,1949-12-04T00:00:00Z,,1950-01-01T00:00:00Z,
Colin Firth,1960-09-10T00:00:00Z,,1983-01-01T00:00:00Z,
Jean Dujardin,1972-06-19T00:00:00Z,,1994-01-01T00:00:00Z,
Matthew McConaughey,1969-11-04T00:00:00Z,,1991-01-01T00:00:00Z,
Walter Brennan,1894-07-25T00:00:00Z,1974-09-21T00:00:00Z,1925-01-01T00:00:00Z,1974-01-01T00:00:00Z
Joseph Schildkraut,1896-03-22T00:00:00Z,1964-01-21T00:00:00Z,1915-01-01T00:00:00Z,
Thomas Mitchell,1892-07-11T00:00:00Z,1962-12-17T00:00:00Z,1916-01-01T00:00:00Z,
Donald Crisp,1882-07-27T00:00:00Z,1974-05-25T00:00:00Z,1908-01-01T00:00:00Z,1963-01-01T00:00:00Z
Van Heflin,1908-12-13T00:00:00Z,1971-07-23T00:00:00Z,1928-01-01T00:00:00Z,
Charles Coburn,1877-06-19T00:00:00Z,1961-08-30T00:00:00Z,1901-01-01T00:00:00Z,
Barry Fitzgerald,1888-03-10T00:00:00Z,1961-01-14T00:00:00Z,1930-01-01T00:00:00Z,
James Dunn,1901-11-02T00:00:00Z,1967-09-03T00:00:00Z,1927-01-01T00:00:00Z,
Harold Russell,,,,
Edmund Gwenn,1877-09-26T00:00:00Z,1959-09-06T00:00:00Z,1895-01-01T00:00:00Z,
Walter Huston,1883-04-05T00:00:00Z,1950-04-07T00:00:00Z,1929-01-01T00:00:00Z,1950-01-01T00:00:00Z
Dean Jagger,1903-11-07T00:00:00Z,1991-02-05T00:00:00Z,1929-01-01T00:00:00Z,
George Sanders,1906-07-03T00:00:00Z,1972-04-25T00:00:00Z,1929-01-01T00:00:00Z,
Karl Malden,1912-03-22T00:00:00Z,2009-07-01T00:00:00Z,1937-01-01T00:00:00Z,2000-01-01T00:00:00Z
Anthony Quinn,1915-04-21T00:00:00Z,2001-06-03T00:00:00Z,1936-01-01T00:00:00Z,2001-01-01T00:00:00Z
Frank Sinatra,1915-12-12T00:00:00Z,1998-05-14T00:00:00Z,1935-01-01T00:00:00Z,1995-01-01T00:00:00Z
Edmond O'Brien,1915-09-10T00:00:00Z,1985-05-09T00:00:00Z,1938-01-01T00:00:00Z,
Red Buttons,1919-02-05T00:00:00Z,2006-07-13T00:00:00Z,1935-01-01T00:00:00Z,
Burl Ives,1909-06-14T00:00:00Z,1995-04-14T00:00:00Z,1935-01-01T00:00:00Z,
Hugh Griffith,1912-05-30T00:00:00Z,1980-05-14T00:00:00Z,1939-01-01T00:00:00Z,
Peter Ustinov,1921-04-16T00:00:00Z,2004-03-28T00:00:00Z,1940-01-01T00:00:00Z,2004-01-01T00:00:00Z
George Chakiris,1934-09-16T00:00:00Z,,1947-01-01T00:00:00Z,1996-01-01T00:00:00Z
Ed Begley,1901-03-25T00:00:00Z,1970-04-28T00:00:00Z,1947-01-01T00:00:00Z,
 Sr.,,,,
Melvyn Douglas,1901-04-05T00:00:00Z,1981-08-04T00:00:00Z,1927-01-01T00:00:00Z,
Martin Balsam,1919-11-04T00:00:00Z,1996-02-13T00:00:00Z,1947-01-01T00:00:00Z,
Walter Matthau,1920-10-01T00:00:00Z,2000-07-01T00:00:00Z,1947-01-01T00:00:00Z,
George Kennedy,1925-02-18T00:00:00Z,2016-02-28T00:00:00Z,1955-01-01T00:00:00Z,2014-01-01T00:00:00Z
Jack Albertson,1907-06-16T00:00:00Z,1981-11-25T00:00:00Z,1938-01-01T00:00:00Z,
Gig Young,1913-11-04T00:00:00Z,1978-10-19T00:00:00Z,1940-01-01T00:00:00Z,
John Mills,1908-02-22T00:00:00Z,2005-04-23T00:00:00Z,1929-01-01T00:00:00Z,2005-01-01T00:00:00Z
Ben Johnson,1918-06-13T00:00:00Z,1996-04-08T00:00:00Z,1939-01-01T00:00:00Z,1996-01-01T00:00:00Z
Joel Grey,1932-04-11T00:00:00Z,,1951-01-01T00:00:00Z,
John Houseman,1902-09-22T00:00:00Z,1988-10-31T00:00:00Z,1930-01-01T00:00:00Z,
George Burns,1896-01-20T00:00:00Z,1996-03-09T00:00:00Z,1902-01-01T00:00:00Z,1996-01-01T00:00:00Z
Jason Robards,1922-07-26T00:00:00Z,2000-12-26T00:00:00Z,1946-01-01T00:00:00Z,
Christopher Walken,1943-03-31T00:00:00Z,,1952-01-01T00:00:00Z,
Timothy Hutton,1960-08-16T00:00:00Z,,1965-01-01T00:00:00Z,
John Gielgud,1904-04-14T00:00:00Z,2000-05-21T00:00:00Z,1924-01-01T00:00:00Z,
Lou Gossett,,,,
 Jr.,,,,
Haing S. Ngor,1940-03-22T00:00:00Z,1996-02-25T00:00:00Z,1984-01-01T00:00:00Z,
Don Ameche,1908-05-31T00:00:00Z,1993-12-06T00:00:00Z,1929-01-01T00:00:00Z,
Michael Caine,1933-03-14T00:00:00Z,,1956-01-01T00:00:00Z,2012-01-01T00:00:00Z
Sean Connery,1930-08-25T00:00:00Z,2020-10-31T00:00:00Z,1954-01-01T00:00:00Z,2003-01-01T00:00:00Z
Kevin Kline,1947-10-24T00:00:00Z,,1972-01-01T00:00:00Z,
Joe Pesci,1943-02-09T00:00:00Z,,1961-01-01T00:00:00Z,
Jack Palance,1919-02-18T00:00:00Z,2006-11-10T00:00:00Z,1947-01-01T00:00:00Z,
Tommy Lee Jones,1946-09-15T00:00:00Z,,1969-01-01T00:00:00Z,
Martin Landau,1928-06-20T00:00:00Z,2017-07-15T00:00:00Z,1950-01-01T00:00:00Z,2017-01-01T00:00:00Z
Cuba Gooding,,,,
Robin Williams,1951-07-21T00:00:00Z,2014-08-11T00:00:00Z,1972-01-01T00:00:00Z,2014-01-01T00:00:00Z
