movie_name,movie_date,actor
The Shawshank Redemption,1970,Tim Robbins
The Shawshank Redemption,1970,Morgan Freeman
The Shawshank Redemption,1970,Bob Gunton
The Shawshank Redemption,1970,William Sadler
The Shawshank Redemption,1970,Clancy Brown
The Shawshank Redemption,1970,Gil Bellows
The Shawshank Redemption,1970,Mark Rolston
The Shawshank Redemption,1970,James Whitmore
The Shawshank Redemption,1970,Jeffrey DeMunn
The Shawshank Redemption,1970,Larry Brandenburg
The Shawshank Redemption,1970,Neil Giuntoli
The Shawshank Redemption,1970,Brian Libby
The Shawshank Redemption,1970,David Proval
The Shawshank Redemption,1970,Joseph Ragno
The Shawshank Redemption,1970,Jude Ciccolella
The Shawshank Redemption,1970,Paul McCrane
The Shawshank Redemption,1970,Renee Blaine
The Shawshank Redemption,1970,Scott Mann
The Godfather,1970,Marlon Brando
The Godfather,1970,Al Pacino
The Godfather,1970,James Caan
The Godfather,1970,Diane Keaton
The Godfather,1970,Richard S. Castellano
The Godfather,1970,Robert Duvall
The Godfather,1970,Sterling Hayden
The Godfather,1970,John Marley
The Godfather,1970,Richard Conte
The Godfather,1970,Al Lettieri
The Godfather,1970,Abe Vigoda
The Godfather,1970,Talia Shire
The Godfather,1970,Gianni Russo
The Godfather,1970,John Cazale
The Godfather,1970,Rudy Bond
The Godfather,1970,Al Martino
The Godfather,1970,Morgana King
The Godfather,1970,Lenny Montana
The Dark Knight,1970,Christian Bale
The Dark Knight,1970,Heath Ledger
The Dark Knight,1970,Aaron Eckhart
The Dark Knight,1970,Michael Caine
The Dark Knight,1970,Maggie Gyllenhaal
The Dark Knight,1970,Gary Oldman
The Dark Knight,1970,Morgan Freeman
The Dark Knight,1970,Monique Gabriela Curnen
The Dark Knight,1970,Ron Dean
The Dark Knight,1970,Cillian Murphy
The Dark Knight,1970,Chin Han
The Dark Knight,1970,Nestor Carbonell
The Dark Knight,1970,Eric Roberts
The Dark Knight,1970,Ritchie Coster
The Dark Knight,1970,Anthony Michael Hall
The Dark Knight,1970,Keith Szarabajka
The Dark Knight,1970,Colin McFarlane
The Dark Knight,1970,Joshua Harto
The Godfather Part II,1970,Al Pacino
The Godfather Part II,1970,Robert De Niro
The Godfather Part II,1970,Robert Duvall
The Godfather Part II,1970,Diane Keaton
The Godfather Part II,1970,John Cazale
The Godfather Part II,1970,Talia Shire
The Godfather Part II,1970,Lee Strasberg
The Godfather Part II,1970,Michael V. Gazzo
The Godfather Part II,1970,G.D. Spradlin
The Godfather Part II,1970,Richard Bright
The Godfather Part II,1970,Gastone Moschin
The Godfather Part II,1970,Tom Rosqui
The Godfather Part II,1970,Bruno Kirby
The Godfather Part II,1970,Frank Sivero
The Godfather Part II,1970,Francesca De Sapio
The Godfather Part II,1970,Morgana King
The Godfather Part II,1970,Marianna Hill
The Godfather Part II,1970,Leopoldo Trieste
12 Angry Men,1970,Henry Fonda
12 Angry Men,1970,Lee J. Cobb
12 Angry Men,1970,Martin Balsam
12 Angry Men,1970,John Fiedler
12 Angry Men,1970,E.G. Marshall
12 Angry Men,1970,Jack Klugman
12 Angry Men,1970,Edward Binns
12 Angry Men,1970,Jack Warden
12 Angry Men,1970,Joseph Sweeney
12 Angry Men,1970,Ed Begley
12 Angry Men,1970,George Voskovec
12 Angry Men,1970,Robert Webber
12 Angry Men,1970,Rudy Bond
12 Angry Men,1970,Tom Gorman
12 Angry Men,1970,James Kelly
12 Angry Men,1970,Billy Nelson
12 Angry Men,1970,John Savoca
12 Angry Men,1970,Walter Stocker
Schindler's List,1970,Liam Neeson
Schindler's List,1970,Ralph Fiennes
Schindler's List,1970,Ben Kingsley
Schindler's List,1970,Caroline Goodall
Schindler's List,1970,Jonathan Sagall
Schindler's List,1970,Embeth Davidtz
Schindler's List,1970,Malgorzata Gebel
Schindler's List,1970,Shmuel Levy
Schindler's List,1970,Mark Ivanir
Schindler's List,1970,Béatrice Macola
Schindler's List,1970,Andrzej Seweryn
Schindler's List,1970,Friedrich von Thun
Schindler's List,1970,Krzysztof Luft
Schindler's List,1970,Harry Nehring
Schindler's List,1970,Norbert Weisser
Schindler's List,1970,Adi Nitzan
Schindler's List,1970,Michael Schneider
Schindler's List,1970,Miri Fabian
The Lord of the Rings: The Return of the King,1970,Elijah Wood
The Lord of the Rings: The Return of the King,1970,Viggo Mortensen
The Lord of the Rings: The Return of the King,1970,Ian McKellen
The Lord of the Rings: The Return of the King,1970,Orlando Bloom
The Lord of the Rings: The Return of the King,1970,Noel Appleby
The Lord of the Rings: The Return of the King,1970,Ali Astin
The Lord of the Rings: The Return of the King,1970,Sean Astin
The Lord of the Rings: The Return of the King,1970,David Aston
The Lord of the Rings: The Return of the King,1970,John Bach
The Lord of the Rings: The Return of the King,1970,Sean Bean
The Lord of the Rings: The Return of the King,1970,Cate Blanchett
The Lord of the Rings: The Return of the King,1970,Billy Boyd
The Lord of the Rings: The Return of the King,1970,Sadwyn Brophy
The Lord of the Rings: The Return of the King,1970,Alistair Browning
The Lord of the Rings: The Return of the King,1970,Marton Csokas
The Lord of the Rings: The Return of the King,1970,Richard Edge
The Lord of the Rings: The Return of the King,1970,Jason Fitch
The Lord of the Rings: The Return of the King,1970,Bernard Hill
Pulp Fiction,1970,John Travolta
Pulp Fiction,1970,Uma Thurman
Pulp Fiction,1970,Samuel L. Jackson
Pulp Fiction,1970,Bruce Willis
Pulp Fiction,1970,Tim Roth
Pulp Fiction,1970,Amanda Plummer
Pulp Fiction,1970,Laura Lovelace
Pulp Fiction,1970,Phil LaMarr
Pulp Fiction,1970,Frank Whaley
Pulp Fiction,1970,Burr Steers
Pulp Fiction,1970,Ving Rhames
Pulp Fiction,1970,Paul Calderon
Pulp Fiction,1970,Bronagh Gallagher
Pulp Fiction,1970,Rosanna Arquette
Pulp Fiction,1970,Eric Stoltz
Pulp Fiction,1970,Jerome Patrick Hoban
Pulp Fiction,1970,Michael Gilden
Pulp Fiction,1970,Gary Shorelle
The Lord of the Rings: The Fellowship of the Ring,1970,Elijah Wood
The Lord of the Rings: The Fellowship of the Ring,1970,Ian McKellen
The Lord of the Rings: The Fellowship of the Ring,1970,Orlando Bloom
The Lord of the Rings: The Fellowship of the Ring,1970,Sean Bean
The Lord of the Rings: The Fellowship of the Ring,1970,Alan Howard
The Lord of the Rings: The Fellowship of the Ring,1970,Noel Appleby
The Lord of the Rings: The Fellowship of the Ring,1970,Sean Astin
The Lord of the Rings: The Fellowship of the Ring,1970,Sala Baker
The Lord of the Rings: The Fellowship of the Ring,1970,Billy Boyd
The Lord of the Rings: The Fellowship of the Ring,1970,Andy Serkis
The Lord of the Rings: The Fellowship of the Ring,1970,Marton Csokas
The Lord of the Rings: The Fellowship of the Ring,1970,Viggo Mortensen
The Lord of the Rings: The Fellowship of the Ring,1970,Megan Edwards
The Lord of the Rings: The Fellowship of the Ring,1970,Michael Elsworth
The Lord of the Rings: The Fellowship of the Ring,1970,Cate Blanchett
The Lord of the Rings: The Fellowship of the Ring,1970,Mark Ferguson
The Lord of the Rings: The Fellowship of the Ring,1970,Ian Holm
The Lord of the Rings: The Fellowship of the Ring,1970,Christopher Lee
"The Good, the Bad and the Ugly",1970,Clint Eastwood
"The Good, the Bad and the Ugly",1970,Eli Wallach
"The Good, the Bad and the Ugly",1970,Lee Van Cleef
"The Good, the Bad and the Ugly",1970,Aldo Giuffrè
"The Good, the Bad and the Ugly",1970,Luigi Pistilli
"The Good, the Bad and the Ugly",1970,Rada Rassimov
"The Good, the Bad and the Ugly",1970,Enzo Petito
"The Good, the Bad and the Ugly",1970,Claudio Scarchilli
"The Good, the Bad and the Ugly",1970,John Bartha
"The Good, the Bad and the Ugly",1970,Livio Lorenzon
"The Good, the Bad and the Ugly",1970,Antonio Casale
"The Good, the Bad and the Ugly",1970,Sandro Scarchilli
"The Good, the Bad and the Ugly",1970,Benito Stefanelli
"The Good, the Bad and the Ugly",1970,Angelo Novi
"The Good, the Bad and the Ugly",1970,Antonio Casas
"The Good, the Bad and the Ugly",1970,Aldo Sambrell
"The Good, the Bad and the Ugly",1970,Al Mulock
"The Good, the Bad and the Ugly",1970,Sergio Mendizábal
Forrest Gump,1970,Tom Hanks
Forrest Gump,1970,Robin Wright
Forrest Gump,1970,Gary Sinise
Forrest Gump,1970,Sally Field
Forrest Gump,1970,Rebecca Williams
Forrest Gump,1970,Michael Conner Humphreys
Forrest Gump,1970,Harold G. Herthum
Forrest Gump,1970,George Kelly
Forrest Gump,1970,Bob Penny
Forrest Gump,1970,John Randall
Forrest Gump,1970,Sam Anderson
Forrest Gump,1970,Margo Moorer
Forrest Gump,1970,Ione M. Telech
Forrest Gump,1970,Christine Seabrook
Forrest Gump,1970,John Worsham
Forrest Gump,1970,Peter Dobson
Forrest Gump,1970,Siobhan Fallon Hogan
Forrest Gump,1970,Alexander Zemeckis
Fight Club,1970,Brad Pitt
Fight Club,1970,Edward Norton
Fight Club,1970,Meat Loaf
Fight Club,1970,Zach Grenier
Fight Club,1970,Richmond Arquette
Fight Club,1970,David Andrews
Fight Club,1970,George Maguire
Fight Club,1970,Eugenie Bondurant
Fight Club,1970,Christina Cabot
Fight Club,1970,Helena Bonham Carter
Fight Club,1970,Sydney 'Big Dawg' Colston
Fight Club,1970,Rachel Singer
Fight Club,1970,Christie Cronenweth
Fight Club,1970,Tim DeZarn
Fight Club,1970,Ezra Buzzington
Fight Club,1970,Dierdre Downing-Jackson
Fight Club,1970,Bob Stephenson
Fight Club,1970,Charlie Dell
The Lord of the Rings: The Two Towers,1970,Elijah Wood
The Lord of the Rings: The Two Towers,1970,Ian McKellen
The Lord of the Rings: The Two Towers,1970,Viggo Mortensen
The Lord of the Rings: The Two Towers,1970,Orlando Bloom
The Lord of the Rings: The Two Towers,1970,Bruce Allpress
The Lord of the Rings: The Two Towers,1970,Sean Astin
The Lord of the Rings: The Two Towers,1970,John Bach
The Lord of the Rings: The Two Towers,1970,Sala Baker
The Lord of the Rings: The Two Towers,1970,Cate Blanchett
The Lord of the Rings: The Two Towers,1970,Billy Boyd
The Lord of the Rings: The Two Towers,1970,Jed Brophy
The Lord of the Rings: The Two Towers,1970,Sam Comery
The Lord of the Rings: The Two Towers,1970,Brad Dourif
The Lord of the Rings: The Two Towers,1970,Calum Gittins
The Lord of the Rings: The Two Towers,1970,Bernard Hill
The Lord of the Rings: The Two Towers,1970,Bruce Hopkins
The Lord of the Rings: The Two Towers,1970,Paris Howe Strewe
The Lord of the Rings: The Two Towers,1970,Christopher Lee
Inception,1970,Leonardo DiCaprio
Inception,1970,Joseph Gordon-Levitt
Inception,1970,Elliot Page
Inception,1970,Ken Watanabe
Inception,1970,Tom Hardy
Inception,1970,Dileep Rao
Inception,1970,Cillian Murphy
Inception,1970,Tom Berenger
Inception,1970,Marion Cotillard
Inception,1970,Pete Postlethwaite
Inception,1970,Michael Caine
Inception,1970,Lukas Haas
Inception,1970,Tai-Li Lee
Inception,1970,Claire Geare
Inception,1970,Magnus Nolan
Inception,1970,Taylor Geare
Inception,1970,Johnathan Geare
Inception,1970,Tohoru Masamune
Star Wars: Episode V - The Empire Strikes Back,1970,Mark Hamill
Star Wars: Episode V - The Empire Strikes Back,1970,Harrison Ford
Star Wars: Episode V - The Empire Strikes Back,1970,Carrie Fisher
Star Wars: Episode V - The Empire Strikes Back,1970,Billy Dee Williams
Star Wars: Episode V - The Empire Strikes Back,1970,Anthony Daniels
Star Wars: Episode V - The Empire Strikes Back,1970,David Prowse
Star Wars: Episode V - The Empire Strikes Back,1970,Peter Mayhew
Star Wars: Episode V - The Empire Strikes Back,1970,Kenny Baker
Star Wars: Episode V - The Empire Strikes Back,1970,Frank Oz
Star Wars: Episode V - The Empire Strikes Back,1970,Alec Guinness
Star Wars: Episode V - The Empire Strikes Back,1970,Jeremy Bulloch
Star Wars: Episode V - The Empire Strikes Back,1970,John Hollis
Star Wars: Episode V - The Empire Strikes Back,1970,Jack Purvis
Star Wars: Episode V - The Empire Strikes Back,1970,Des Webb
Star Wars: Episode V - The Empire Strikes Back,1970,Clive Revill
Star Wars: Episode V - The Empire Strikes Back,1970,Kenneth Colley
