award_year,award_category
1970,Best Director
1970,Best Actor
1970,Best Supporting Actor
1970,Best Actress
1970,Best Supporting Actress
1970,ACTOR
1970,ACTRESS
1970,ART DIRECTION
1970,CINEMATOGRAPHY
1970,DIRECTING (Comedy Picture)
1970,DIRECTING (Dramatic Picture)
1970,ENGINEERING EFFECTS
1970,OUTSTANDING PICTURE
1970,UNIQUE AND ARTISTIC PICTURE
1970,WRITING (Adaptation)
1970,WRITING (Original Story)
1970,WRITING (Title Writing)
1970,SPECIAL AWARD
1970,DIRECTING
1970,WRITING
1970,OUTSTANDING PRODUCTION
1970,SOUND RECORDING
1970,SHORT SUBJECT (Cartoon)
1970,SHORT SUBJECT (Comedy)
1970,SHORT SUBJECT (Novelty)
1970,ASSISTANT DIRECTOR
1970,FILM EDITING
1970,MUSIC (Scoring)
1970,MUSIC (Song)
1970,DANCE DIRECTION
1970,WRITING (Screenplay)
1970,ACTOR IN A SUPPORTING ROLE
1970,ACTRESS IN A SUPPORTING ROLE
1970,SHORT SUBJECT (Color)
1970,SHORT SUBJECT (One-reel)
1970,SHORT SUBJECT (Two-reel)
1970,IRVING G. THALBERG MEMORIAL AWARD
1970,MUSIC (Original Score)
1970,CINEMATOGRAPHY (Black-and-White)
1970,CINEMATOGRAPHY (Color)
1970,SPECIAL EFFECTS
1970,ART DIRECTION (Black-and-White)
1970,ART DIRECTION (Color)
1970,WRITING (Original Screenplay)
1970,DOCUMENTARY (Short Subject)
1970,MUSIC (Music Score of a Dramatic Picture)
1970,MUSIC (Scoring of a Musical Picture)
1970,OUTSTANDING MOTION PICTURE
1970,DOCUMENTARY
1970,MUSIC (Music Score of a Dramatic or Comedy Picture)
1970,WRITING (Original Motion Picture Story)
1970,DOCUMENTARY (Feature)
1970,BEST MOTION PICTURE
1970,WRITING (Motion Picture Story)
1970,COSTUME DESIGN (Black-and-White)
1970,COSTUME DESIGN (Color)
1970,SPECIAL FOREIGN LANGUAGE FILM AWARD
1970,WRITING (Story and Screenplay)
1970,HONORARY FOREIGN LANGUAGE FILM AWARD
1970,HONORARY AWARD
1970,FOREIGN LANGUAGE FILM
1970,WRITING (Screenplay--Adapted)
1970,WRITING (Screenplay--Original)
1970,JEAN HERSHOLT HUMANITARIAN AWARD
1970,COSTUME DESIGN
1970,SHORT SUBJECT (Live Action)
1970,WRITING (Screenplay--based on material from another medium)
1970,WRITING (Story and Screenplay--written directly for the screen)
1970,SOUND
1970,MUSIC (Music Score--substantially original)
1970,MUSIC (Scoring of Music--adaptation or treatment)
1970,BEST PICTURE
1970,SOUND EFFECTS
1970,SPECIAL VISUAL EFFECTS
1970,MUSIC (Original Music Score)
1970,MUSIC (Original Score--for a motion picture [not a musical])
1970,MUSIC (Score of a Musical Picture--original or adaptation)
1970,MUSIC (Song--Original for the Picture)
1970,WRITING (Story and Screenplay--based on material not previously published or produced)
1970,MUSIC (Original Song Score)
1970,WRITING (Story and Screenplay--based on factual material or material not previously published or produced)
1970,MUSIC (Original Dramatic Score)
1970,MUSIC (Scoring: Adaptation and Original Song Score)
1970,SHORT SUBJECT (Animated)
1970,SPECIAL ACHIEVEMENT AWARD (Visual Effects)
1970,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation)
1970,SHORT FILM (Animated)
1970,SHORT FILM (Live Action)
1970,WRITING (Screenplay Adapted from Other Material)
1970,MUSIC (Original Song)
1970,SPECIAL ACHIEVEMENT AWARD (Sound Effects)
1970,ACTOR IN A LEADING ROLE
1970,ACTRESS IN A LEADING ROLE
1970,MUSIC (Original Song Score and Its Adaptation or Adaptation Score)
1970,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced)
1970,VISUAL EFFECTS
1970,SPECIAL ACHIEVEMENT AWARD
1970,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing)
1970,MUSIC (Adaptation Score)
1970,WRITING (Screenplay Based on Material from Another Medium)
1970,WRITING (Screenplay Written Directly for the Screen)
1970,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score)
1970,SPECIAL ACHIEVEMENT AWARD (Sound Editing)
1970,SHORT FILM (Dramatic Live Action)
1970,MAKEUP
1970,SOUND EFFECTS EDITING
1970,MUSIC (Original Song Score or Adaptation Score)
1970,WRITING (Screenplay Based on Material Previously Produced or Published)
1970,MUSIC (Original Musical or Comedy Score)
1970,SOUND EDITING
1970,ANIMATED FEATURE FILM
1970,WRITING (Adapted Screenplay)
1970,SOUND MIXING
1970,MAKEUP AND HAIRSTYLING
1970,PRODUCTION DESIGN
1970,INTERNATIONAL FEATURE FILM
1970,DOCUMENTARY FEATURE FILM
1970,DOCUMENTARY SHORT FILM
1970,GORDON E. SAWYER AWARD
1970,AWARD OF COMMENDATION
