movie_name,movie_date,director
The Shawshank Redemption,1970,Frank Darabont
The Godfather,1970,Francis Ford Coppola
The Dark Knight,1970,Christopher Nolan
The Godfather Part II,1970,Francis Ford Coppola
12 Angry Men,1970,Sidney Lumet
Schindler's List,1970,Steven Spielberg
The Lord of the Rings: The Return of the King,1970,Peter Jackson
Pulp Fiction,1970,Quentin Tarantino
The Lord of the Rings: The Fellowship of the Ring,1970,Peter Jackson
"The Good, the Bad and the Ugly",1970,Sergio Leone
Forrest Gump,1970,Robert Zemeckis
Fight Club,1970,David Fincher
The Lord of the Rings: The Two Towers,1970,Peter Jackson
Inception,1970,Christopher Nolan
Star Wars: Episode V - The Empire Strikes Back,1970,Irvin Kershner
The Matrix,1970,Lana Wachowski
The Matrix,1970,Lilly Wachowski
Goodfellas,1970,Martin Scorsese
One Flew Over the Cuckoo's Nest,1970,Milos Forman
Se7en,1970,David Fincher
Seven Samurai,1970,Akira Kurosawa
It's a Wonderful Life,1970,Frank Capra
The Silence of the Lambs,1970,Jonathan Demme
City of God,1970,Fernando Meirelles
City of God,1970,Kátia Lund(co-director)
Saving Private Ryan,1970,Steven Spielberg
Interstellar,1970,Christopher Nolan
Life Is Beautiful,1970,Roberto Benigni
The Green Mile,1970,Frank Darabont
Star Wars: Episode IV - A New Hope,1970,George Lucas
Terminator 2: Judgment Day,1970,James Cameron
Back to the Future,1970,Robert Zemeckis
Spirited Away,1970,Hayao Miyazaki
The Pianist,1970,Roman Polanski
Psycho,1970,Alfred Hitchcock
Parasite,1970,Bong Joon Ho
Léon: The Professional,1970,Luc Besson
The Lion King,1970,Roger Allers
The Lion King,1970,Rob Minkoff
Gladiator,1970,Ridley Scott
American History X,1970,Tony Kaye
The Departed,1970,Martin Scorsese
The Usual Suspects,1970,Bryan Singer
The Prestige,1970,Christopher Nolan
Whiplash,1970,Damien Chazelle
Casablanca,1970,Michael Curtiz
Grave of the Fireflies,1970,Isao Takahata
Harakiri,1970,Masaki Kobayashi
The Intouchables,1970,Olivier Nakache
The Intouchables,1970,Éric Toledano
Modern Times,1970,Charles Chaplin
Once Upon a Time in the West,1970,Sergio Leone
Rear Window,1970,Alfred Hitchcock
Cinema Paradiso,1970,Giuseppe Tornatore
Alien,1970,Ridley Scott
City Lights,1970,Charles Chaplin
Apocalypse Now,1970,Francis Ford Coppola
Memento,1970,Christopher Nolan
Django Unchained,1970,Quentin Tarantino
Indiana Jones and the Raiders of the Lost Ark,1970,Steven Spielberg
WALL·E,1970,Andrew Stanton
The Lives of Others,1970,Florian Henckel von Donnersmarck
Sunset Blvd.,1970,Billy Wilder
Paths of Glory,1970,Stanley Kubrick
The Shining,1970,Stanley Kubrick
The Great Dictator,1970,Charles Chaplin
Avengers: Infinity War,1970,Anthony Russo
Avengers: Infinity War,1970,Joe Russo
Witness for the Prosecution,1970,Billy Wilder
Aliens,1970,James Cameron
Spider-Man: Into the Spider-Verse,1970,Bob Persichetti
Spider-Man: Into the Spider-Verse,1970,Peter Ramsey
Spider-Man: Into the Spider-Verse,1970,Rodney Rothman
American Beauty,1970,Sam Mendes
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1970,Stanley Kubrick
The Dark Knight Rises,1970,Christopher Nolan
Oldboy,1970,Park Chan-wook
Inglourious Basterds,1970,Quentin Tarantino
Amadeus,1970,Milos Forman
Coco,1970,Lee Unkrich
Coco,1970,Adrian Molina(co-directed by)
Toy Story,1970,John Lasseter
Joker,1970,Todd Phillips
Braveheart,1970,Mel Gibson
The Boat,1970,Wolfgang Petersen
Avengers: Endgame,1970,Anthony Russo
Avengers: Endgame,1970,Joe Russo
Princess Mononoke,1970,Hayao Miyazaki
Once Upon a Time in America,1970,Sergio Leone
Good Will Hunting,1970,Gus Van Sant
Your Name.,1970,Makoto Shinkai
3 Idiots,1970,Rajkumar Hirani
Singin' in the Rain,1970,Stanley Donen
Singin' in the Rain,1970,Gene Kelly
Requiem for a Dream,1970,Darren Aronofsky
Toy Story 3,1970,Lee Unkrich
High and Low,1970,Akira Kurosawa
Capernaum,1970,Nadine Labaki
Star Wars: Episode VI - Return of the Jedi,1970,Richard Marquand
Eternal Sunshine of the Spotless Mind,1970,Michel Gondry
2001: A Space Odyssey,1970,Stanley Kubrick
Reservoir Dogs,1970,Quentin Tarantino
Come and See,1970,Elem Klimov
The Hunt,1970,Thomas Vinterberg
Citizen Kane,1970,Orson Welles
M,1970,Fritz Lang
Lawrence of Arabia,1970,David Lean
North by Northwest,1970,Alfred Hitchcock
Vertigo,1970,Alfred Hitchcock
Ikiru,1970,Akira Kurosawa
Amélie,1970,Jean-Pierre Jeunet
The Apartment,1970,Billy Wilder
A Clockwork Orange,1970,Stanley Kubrick
Double Indemnity,1970,Billy Wilder
Full Metal Jacket,1970,Stanley Kubrick
Top Gun: Maverick,1970,Joseph Kosinski
Scarface,1970,Brian De Palma
Hamilton,1970,Thomas Kail
Incendies,1970,Denis Villeneuve
To Kill a Mockingbird,1970,Robert Mulligan
Heat,1970,Michael Mann
The Sting,1970,George Roy Hill
Up,1970,Pete Docter
Up,1970,Bob Peterson(co-director)
A Separation,1970,Asghar Farhadi
Metropolis,1970,Fritz Lang
Taxi Driver,1970,Martin Scorsese
L.A. Confidential,1970,Curtis Hanson
Die Hard,1970,John McTiernan
Snatch,1970,Guy Ritchie
Indiana Jones and the Last Crusade,1970,Steven Spielberg
Bicycle Thieves,1970,Vittorio De Sica
Like Stars on Earth,1970,Aamir Khan
Like Stars on Earth,1970,Amole Gupte(uncredited)
1917,1970,Sam Mendes
Downfall,1970,Oliver Hirschbiegel
Dangal,1970,Nitesh Tiwari
For a Few Dollars More,1970,Sergio Leone
Batman Begins,1970,Christopher Nolan
The Kid,1970,Charles Chaplin
Some Like It Hot,1970,Billy Wilder
The Father,1970,Florian Zeller
All About Eve,1970,Joseph L. Mankiewicz
The Wolf of Wall Street,1970,Martin Scorsese
Green Book,1970,Peter Farrelly
Judgment at Nuremberg,1970,Stanley Kramer
Casino,1970,Martin Scorsese
Ran,1970,Akira Kurosawa
Pan's Labyrinth,1970,Guillermo del Toro
The Truman Show,1970,Peter Weir
There Will Be Blood,1970,Paul Thomas Anderson
Unforgiven,1970,Clint Eastwood
The Sixth Sense,1970,M. Night Shyamalan
Shutter Island,1970,Martin Scorsese
A Beautiful Mind,1970,Ron Howard
Jurassic Park,1970,Steven Spielberg
Yojimbo,1970,Akira Kurosawa
The Treasure of the Sierra Madre,1970,John Huston
Monty Python and the Holy Grail,1970,Terry Gilliam
Monty Python and the Holy Grail,1970,Terry Jones
The Great Escape,1970,John Sturges
No Country for Old Men,1970,Ethan Coen
No Country for Old Men,1970,Joel Coen
Spider-Man: No Way Home,1970,Jon Watts
Kill Bill: Vol. 1,1970,Quentin Tarantino
Rashomon,1970,Akira Kurosawa
The Thing,1970,John Carpenter
Finding Nemo,1970,Andrew Stanton
Finding Nemo,1970,Lee Unkrich(co-director)
The Elephant Man,1970,David Lynch
Chinatown,1970,Roman Polanski
Raging Bull,1970,Martin Scorsese
V for Vendetta,1970,James McTeigue
Gone with the Wind,1970,Victor Fleming
Gone with the Wind,1970,George Cukor(uncredited)
Gone with the Wind,1970,Sam Wood(uncredited)
"Lock, Stock and Two Smoking Barrels",1970,Guy Ritchie
Inside Out,1970,Pete Docter
Inside Out,1970,Ronnie Del Carmen(co-director)
Dial M for Murder,1970,Alfred Hitchcock
The Secret in Their Eyes,1970,Juan José Campanella
Howl's Moving Castle,1970,Hayao Miyazaki
"Three Billboards Outside Ebbing, Missouri",1970,Martin McDonagh
The Bridge on the River Kwai,1970,David Lean
Trainspotting,1970,Danny Boyle
Prisoners,1970,Denis Villeneuve
Warrior,1970,Gavin O'Connor
Fargo,1970,Joel Coen
Fargo,1970,Ethan Coen(uncredited)
Gran Torino,1970,Clint Eastwood
My Neighbor Totoro,1970,Hayao Miyazaki
Catch Me If You Can,1970,Steven Spielberg
Million Dollar Baby,1970,Clint Eastwood
Children of Heaven,1970,Majid Majidi
Blade Runner,1970,Ridley Scott
The Gold Rush,1970,Charles Chaplin
Before Sunrise,1970,Richard Linklater
12 Years a Slave,1970,Steve McQueen
Klaus,1970,Sergio Pablos
Klaus,1970,Carlos Martínez López(co-director)
Harry Potter and the Deathly Hallows: Part 2,1970,David Yates
On the Waterfront,1970,Elia Kazan
Ben-Hur,1970,William Wyler
Gone Girl,1970,David Fincher
The Grand Budapest Hotel,1970,Wes Anderson
Wild Strawberries,1970,Ingmar Bergman
The General,1970,Clyde Bruckman
The General,1970,Buster Keaton
The Third Man,1970,Carol Reed
In the Name of the Father,1970,Jim Sheridan
The Deer Hunter,1970,Michael Cimino
Barry Lyndon,1970,Stanley Kubrick
Hacksaw Ridge,1970,Mel Gibson
The Wages of Fear,1970,Henri-Georges Clouzot
Memories of Murder,1970,Bong Joon Ho
Sherlock Jr.,1970,Buster Keaton
Wild Tales,1970,Damián Szifron
Mr. Smith Goes to Washington,1970,Frank Capra
Mad Max: Fury Road,1970,George Miller
The Seventh Seal,1970,Ingmar Bergman
Mary and Max,1970,Adam Elliot
How to Train Your Dragon,1970,Dean DeBlois
How to Train Your Dragon,1970,Chris Sanders
Room,1970,Lenny Abrahamson
"Monsters, Inc.",1970,Pete Docter
"Monsters, Inc.",1970,David Silverman(co-director)
"Monsters, Inc.",1970,Lee Unkrich(co-director)
Jaws,1970,Steven Spielberg
Dead Poets Society,1970,Peter Weir
The Big Lebowski,1970,Joel Coen
The Big Lebowski,1970,Ethan Coen(uncredited)
Tokyo Story,1970,Yasujirô Ozu
The Passion of Joan of Arc,1970,Carl Theodor Dreyer
Hotel Rwanda,1970,Terry George
Ford v Ferrari,1970,James Mangold
Rocky,1970,John G. Avildsen
Platoon,1970,Oliver Stone
Ratatouille,1970,Brad Bird
Ratatouille,1970,Jan Pinkava(co-director)
Spotlight,1970,Tom McCarthy
The Terminator,1970,James Cameron
Logan,1970,James Mangold
Stand by Me,1970,Rob Reiner
Rush,1970,Ron Howard
Network,1970,Sidney Lumet
Into the Wild,1970,Sean Penn
Before Sunset,1970,Richard Linklater
The Wizard of Oz,1970,Victor Fleming
The Wizard of Oz,1970,George Cukor(uncredited)
The Wizard of Oz,1970,Mervyn LeRoy(uncredited)
Pather Panchali,1970,Satyajit Ray
Groundhog Day,1970,Harold Ramis
The Best Years of Our Lives,1970,William Wyler
The Exorcist,1970,William Friedkin
The Incredibles,1970,Brad Bird
To Be or Not to Be,1970,Ernst Lubitsch
La haine,1970,Mathieu Kassovitz
The Battle of Algiers,1970,Gillo Pontecorvo
Pirates of the Caribbean: The Curse of the Black Pearl,1970,Gore Verbinski
Hachi: A Dog's Tale,1970,Lasse Hallström
The Grapes of Wrath,1970,John Ford
Jai Bhim,1970,T.J. Gnanavel
My Father and My Son,1970,Çagan Irmak
Amores Perros,1970,Alejandro G. Iñárritu
Rebecca,1970,Alfred Hitchcock
Cool Hand Luke,1970,Stuart Rosenberg
The Handmaiden,1970,Park Chan-wook
The 400 Blows,1970,François Truffaut
The Sound of Music,1970,Robert Wise
It Happened One Night,1970,Frank Capra
Persona,1970,Ingmar Bergman
Life of Brian,1970,Terry Jones
The Iron Giant,1970,Brad Bird
The Help,1970,Tate Taylor
Dersu Uzala,1970,Akira Kurosawa
Aladdin,1970,Ron Clements
Aladdin,1970,John Musker
Gandhi,1970,Richard Attenborough
Dances with Wolves,1970,Kevin Costner
Kantara,1970,Rishab Shetty
The Matrix,1970,Directors:Lana Wachowski
The Empire Strikes Back,1970,Irvin Kershner
Star Wars,1970,George Lucas
Seppuku,1970,Masaki Kobayashi
Shichinin no samurai,1970,Akira Kurosawa
Kaithi,1970,Lokesh Kanagaraj
Asuran,1970,Vetrimaaran
Sita Ramam,1970,Hanu Raghavapudi
Léon,1970,Luc Besson
Vikram,1970,Lokesh Kanagaraj
Spider-Man: Into the Spider-Verse,1970,Directors:Bob Persichetti
Avengers: Endgame,1970,Directors:Anthony Russo
Avengers: Infinity War,1970,Directors:Anthony Russo
K.G.F: Chapter 2,1970,Prashanth Neel
Shershaah,1970,Vishnuvardhan
Oldeuboi,1970,Park Chan-wook
Mononoke-hime,1970,Hayao Miyazaki
Raiders of the Lost Ark,1970,Steven Spielberg
Vikram Vedha,1970,Directors:Gayatri
Vikram Vedha,1970,Pushkar
Vikram Vedha,1970,Gowtham Selvaraj
Major,1970,Sashi Kiran Tikka
Uri: The Surgical Strike,1970,Aditya Dhar
K.G.F: Chapter 1,1970,Prashanth Neel
Dag II,1970,Alper Caglar
Baahubali 2: The Conclusion,1970,S.S. Rajamouli
Gangs of Wasseypur,1970,Anurag Kashyap
Paan Singh Tomar,1970,Tigmanshu Dhulia
Kimetsu no Yaiba: Mugen Ressha-Hen,1970,Haruo Sotozaki
Yôjinbô,1970,Akira Kurosawa
The General,1970,Directors:Clyde Bruckman
Everything Everywhere All at Once,1970,Directors:Dan Kwan
Everything Everywhere All at Once,1970,Daniel Scheinert
Bajrangi Bhaijaan,1970,Kabir Khan
A Wednesday,1970,Neeraj Pandey
How to Train Your Dragon,1970,Directors:Dean DeBlois
Hera Pheri,1970,Priyadarshan
Sarfarosh,1970,John Mathew Matthan
Sholay,1970,Ramesh Sippy
