movie_name,movie_date,movie_rating,movie_genre,movie_censor
The Shawshank Redemption,1970,9.3,Drama,R
The Godfather,1970,9.2,Crime,R
The Dark Knight,1970,9.0,Action,PG-13
The Godfather Part II,1970,9.0,Crime,R
12 Angry Men,1970,9.0,Crime,Approved
Schindler's List,1970,9.0,Biography,R
The Lord of the Rings: The Return of the King,1970,9.0,Action,PG-13
Pulp Fiction,1970,8.9,Crime,R
The Lord of the Rings: The Fellowship of the Ring,1970,8.8,Action,PG-13
"The Good, the Bad and the Ugly",1970,8.8,Adventure,Approved
Forrest Gump,1970,8.8,Drama,PG-13
Fight Club,1970,8.8,Drama,R
The Lord of the Rings: The Two Towers,1970,8.8,Action,PG-13
Inception,1970,8.8,Action,PG-13
Star Wars: Episode V - The Empire Strikes Back,1970,8.7,Action,PG
The Matrix,1970,8.7,Action,R
Goodfellas,1970,8.7,Biography,R
One Flew Over the Cuckoo's Nest,1970,8.7,Drama,18+
Se7en,1970,8.6,Crime,R
Seven Samurai,1970,8.6,Action,Not Rated
It's a Wonderful Life,1970,8.6,Drama,PG
The Silence of the Lambs,1970,8.6,Crime,R
City of God,1970,8.6,Crime,R
Saving Private Ryan,1970,8.6,Drama,R
Interstellar,1970,8.6,Adventure,PG-13
Life Is Beautiful,1970,8.6,Comedy,PG-13
The Green Mile,1970,8.6,Crime,R
Star Wars: Episode IV - A New Hope,1970,8.6,Action,PG
Terminator 2: Judgment Day,1970,8.6,Action,R
Back to the Future,1970,8.5,Adventure,PG
Spirited Away,1970,8.6,Animation,PG
The Pianist,1970,8.5,Biography,R
Psycho,1970,8.5,Horror,R
Parasite,1970,8.5,Drama,R
Léon: The Professional,1970,8.5,Action,R
The Lion King,1970,8.5,Animation,G
Gladiator,1970,8.5,Action,R
American History X,1970,8.5,Crime,R
The Departed,1970,8.5,Crime,R
The Usual Suspects,1970,8.5,Crime,R
The Prestige,1970,8.5,Drama,PG-13
Whiplash,1970,8.5,Drama,R
Casablanca,1970,8.5,Drama,PG
Grave of the Fireflies,1970,8.5,Animation,Not Rated
Harakiri,1970,8.6,Action,Not Rated
The Intouchables,1970,8.5,Biography,R
Modern Times,1970,8.5,Comedy,G
Once Upon a Time in the West,1970,8.5,Western,PG-13
Rear Window,1970,8.5,Mystery,PG
Cinema Paradiso,1970,8.5,Drama,PG
Alien,1970,8.5,Horror,R
City Lights,1970,8.5,Comedy,G
Apocalypse Now,1970,8.5,Drama,R
Memento,1970,8.4,Mystery,R
Django Unchained,1970,8.4,Drama,R
Indiana Jones and the Raiders of the Lost Ark,1970,8.4,Action,PG
WALL·E,1970,8.4,Animation,G
The Lives of Others,1970,8.4,Drama,R
Sunset Blvd.,1970,8.4,Drama,Passed
Paths of Glory,1970,8.4,Drama,Approved
The Shining,1970,8.4,Drama,R
The Great Dictator,1970,8.4,Comedy,G
Avengers: Infinity War,1970,8.4,Action,PG-13
Witness for the Prosecution,1970,8.4,Crime,Approved
Aliens,1970,8.4,Action,R
Spider-Man: Into the Spider-Verse,1970,8.4,Animation,PG
American Beauty,1970,8.4,Drama,R
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1970,8.4,Comedy,PG
The Dark Knight Rises,1970,8.4,Action,PG-13
Oldboy,1970,8.4,Action,R
Inglourious Basterds,1970,8.3,Adventure,R
Amadeus,1970,8.4,Biography,PG
Coco,1970,8.4,Animation,PG
Toy Story,1970,8.3,Animation,G
Joker,1970,8.4,Crime,R
Braveheart,1970,8.4,Biography,R
The Boat,1970,8.4,Drama,Not Available
Avengers: Endgame,1970,8.4,Action,PG-13
Princess Mononoke,1970,8.4,Animation,PG-13
Once Upon a Time in America,1970,8.3,Crime,R
Good Will Hunting,1970,8.3,Drama,R
Your Name.,1970,8.4,Animation,TV-PG
3 Idiots,1970,8.4,Comedy,PG-13
Singin' in the Rain,1970,8.3,Comedy,G
Requiem for a Dream,1970,8.3,Drama,Unrated
Toy Story 3,1970,8.3,Animation,G
High and Low,1970,8.4,Crime,Not Rated
Capernaum,1970,8.4,Drama,R
Star Wars: Episode VI - Return of the Jedi,1970,8.3,Action,PG
Eternal Sunshine of the Spotless Mind,1970,8.3,Drama,R
2001: A Space Odyssey,1970,8.3,Adventure,G
Reservoir Dogs,1970,8.3,Crime,R
Come and See,1970,8.4,Drama,Not Rated
The Hunt,1970,8.3,Drama,R
Citizen Kane,1970,8.3,Drama,PG
M,1970,8.3,Crime,Passed
Lawrence of Arabia,1970,8.3,Adventure,Approved
North by Northwest,1970,8.3,Action,Approved
