movie_name,movie_date,award_year,award_category,award_winner
The Noose,1927,1928,ACTOR,False
The Last Command,1927,1928,ACTOR,True
A Ship Comes In,1927,1928,ACTRESS,False
7th Heaven,1927,1928,ACTRESS,True
Sadie Thompson,1927,1928,ACTRESS,False
Sunrise,1927,1928,ART DIRECTION,False
The Dove;,1927,1928,ART DIRECTION,True
7th Heaven,1927,1928,ART DIRECTION,False
The Devil Dancer;,1927,1928,CINEMATOGRAPHY,False
Sunrise,1927,1928,CINEMATOGRAPHY,True
Two Arabian Knights,1927,1928,DIRECTING (Comedy Picture),True
Speedy,1927,1928,DIRECTING (Comedy Picture),False
7th Heaven,1927,1928,DIRECTING (Dramatic Picture),True
Sorrell and Son,1927,1928,DIRECTING (Dramatic Picture),False
The Crowd,1927,1928,DIRECTING (Dramatic Picture),False
Wings,1927,1928,ENGINEERING EFFECTS,True
The Racket,1927,1928,OUTSTANDING PICTURE,False
7th Heaven,1927,1928,OUTSTANDING PICTURE,False
Wings,1927,1928,OUTSTANDING PICTURE,True
Sunrise,1927,1928,UNIQUE AND ARTISTIC PICTURE,True
The Crowd,1927,1928,UNIQUE AND ARTISTIC PICTURE,False
Chang,1927,1928,UNIQUE AND ARTISTIC PICTURE,False
The Jazz Singer,1927,1928,WRITING (Adaptation),False
Glorious Betsy,1927,1928,WRITING (Adaptation),False
7th Heaven,1927,1928,WRITING (Adaptation),True
The Last Command,1927,1928,WRITING (Original Story),False
Underworld,1927,1928,WRITING (Original Story),True
The Private Life of Helen of Troy,1927,1928,WRITING (Title Writing),False
Thunderbolt,1928,1929,ACTOR,False
In Old Arizona,1928,1929,ACTOR,True
Alibi,1928,1929,ACTOR,False
The Valiant,1928,1929,ACTOR,False
The Patriot,1928,1929,ACTOR,False
Madame X,1928,1929,ACTRESS,False
The Barker,1928,1929,ACTRESS,False
The Letter,1928,1929,ACTRESS,False
The Divine Lady,1928,1929,ACTRESS,False
The Broadway Melody,1928,1929,ACTRESS,False
Coquette,1928,1929,ACTRESS,True
The Patriot,1928,1929,ART DIRECTION,False
The Bridge of San Luis Rey,1928,1929,ART DIRECTION,True
Dynamite,1928,1929,ART DIRECTION,False
Alibi;,1928,1929,ART DIRECTION,False
Street Angel,1928,1929,ART DIRECTION,False
Our Dancing Daughters,1928,1929,CINEMATOGRAPHY,False
White Shadows in the South Seas,1928,1929,CINEMATOGRAPHY,True
In Old Arizona,1928,1929,CINEMATOGRAPHY,False
Four Devils;,1928,1929,CINEMATOGRAPHY,False
The Divine Lady,1928,1929,CINEMATOGRAPHY,False
Madame X,1928,1929,DIRECTING,False
The Broadway Melody,1928,1929,DIRECTING,False
In Old Arizona,1928,1929,DIRECTING,False
The Divine Lady,1928,1929,DIRECTING,True
Drag;,1928,1929,DIRECTING,False
The Patriot,1928,1929,DIRECTING,False
Alibi,1928,1929,OUTSTANDING PICTURE,False
In Old Arizona,1928,1929,OUTSTANDING PICTURE,False
The Broadway Melody,1928,1929,OUTSTANDING PICTURE,True
Hollywood Revue,1928,1929,OUTSTANDING PICTURE,False
The Patriot,1928,1929,OUTSTANDING PICTURE,False
In Old Arizona;,1928,1929,WRITING,False
The Cop;,1928,1929,WRITING,False
The Last of Mrs. Cheyney,1928,1929,WRITING,False
The Patriot,1928,1929,WRITING,True
Our Dancing Daughters,1928,1929,WRITING,False
A Woman of Affairs;,1928,1929,WRITING,False
Disraeli,1929,1930,ACTOR,True
The Green Goddess,1929,1930,ACTOR,False
The Big House,1929,1930,ACTOR,False
The Big Pond,1929,1930,ACTOR,False
Bulldog Drummond,1929,1930,ACTOR,False
The Rogue Song,1929,1930,ACTOR,False
The Devil's Holiday,1929,1930,ACTRESS,False
Sarah and Son,1929,1930,ACTRESS,False
Anna Christie,1929,1930,ACTRESS,False
The Divorcee,1929,1930,ACTRESS,True
Their Own Desire,1929,1930,ACTRESS,False
The Trespasser,1929,1930,ACTRESS,False
Bulldog Drummond,1929,1930,ART DIRECTION,False
King of Jazz,1929,1930,ART DIRECTION,True
The Love Parade,1929,1930,ART DIRECTION,False
Sally,1929,1930,ART DIRECTION,False
The Vagabond King,1929,1930,ART DIRECTION,False
All Quiet on the Western Front,1929,1930,CINEMATOGRAPHY,False
Anna Christie,1929,1930,CINEMATOGRAPHY,False
Hell's Angels,1929,1930,CINEMATOGRAPHY,False
The Love Parade,1929,1930,CINEMATOGRAPHY,False
With Byrd at the South Pole,1929,1930,CINEMATOGRAPHY,True
Anna Christie;,1929,1930,DIRECTING,False
The Divorcee,1929,1930,DIRECTING,False
The Love Parade,1929,1930,DIRECTING,False
All Quiet on the Western Front,1929,1930,DIRECTING,True
Hallelujah,1929,1930,DIRECTING,False
All Quiet on the Western Front,1929,1930,OUTSTANDING PRODUCTION,True
The Big House,1929,1930,OUTSTANDING PRODUCTION,False
Disraeli,1929,1930,OUTSTANDING PRODUCTION,False
The Divorcee,1929,1930,OUTSTANDING PRODUCTION,False
