person_name,birth_date,death_date,start_activity,end_activity
50 Cent,1975,,1996,
A.J. Langer,,,,
AJ Meijer,,,,
AJ Michalka,1991,,2002,
Aaliyah,1979,2001,1991,2001
Aamir Khan,1965,,1973,
Aamir Naik,,,,
Aaran Thomas,,,,
Aaron Abrams,1978,,2003,
Aaron Burns,1985,,2005,
Aaron Eckhart,1968,,1992,
Aaron Moorhead,1987,,2004,
Aaron Paul,1979,,1998,
Aaron Ruell,,,,
Aaron Schwartz,1981,,1989,
Aaron Seltzer,1974,,1994,
Aaron Taylor-Johnson,1990,,2000,
Aaron Yoo,1979,,2000,
Aasif Mandvi,1966,,1995,
Aavi Haas,,,,
Aayush Sharma,,,,
Abbie Cornish,1982,,1997,
Abby Craden,,,,
Abdel Ahmed Ghili,,,,
Abdellatif Chaouqi,,,,
Abdolrahman Bagheri,,,,
Abe Vigoda,1921,2016,1947,
Abhay Deol,1976,,2005,
Abhishek Bachchan,1976,,1981,
Abigail Breslin,1996,,2002,
Abigail Spencer,1981,,1999,
Abraham Benrubi,1969,,1990,
Abraham Clinkscales,,,,
Achita Sikamana,,,,
Achyuth Kumar,,,,
Adam Arkin,1956,,1969,
Adam B. Stein,,,,
Adam Baldwin,1962,,1980,
Adam Beach,1972,,1990,
Adam Bessa,,,,
Adam Bousdoukos,1974,,1995,
Adam Brody,1979,,1995,
Adam Brooks,,,,
Adam Bryant,,,,
Adam Campbell,1980,,2004,
Adam Cockburn,,,,
Adam Devine,,,,
Adam Driver,1983,,2010,
Adam Faison,,,,
Adam Garcia,1973,,1992,
Adam Goldberg,1970,,1990,
Adam Herschman,,,,
Adam Lamberg,1984,,1996,
Adam Levine,1979,,1994,
Adam Nee,,,,
Adam Pascal,,,,
Adam Rodriguez,,,,
Adam Sandler,1966,,1987,
Adam Scott,1973,,1994,
Adam Sevani,,,,
Adam Trese,,,,
Adam Young,1986,,2006,
Adamo Dionisi,,,,
Addison Christie,,,,
Addison Timlin,1991,,2005,
Adeel Akhtar,1980,,2006,
Adel Bencherif,1975,,2001,
Adesh Prasad,,,,
Adewale Akinnuoye-Agbaje,1967,,1993,
Adil Hussain,1963,,2000,
Adithya Bhaskar,,,,
Aditi Rao Hydari,1986,,2006,
Aditya Roy Kapoor,,,,
Aditya Srivastav,,,,
Adolfo Celi,1922,1986,1946,
Adolphe Menjou,1890,1963,1914,
Adria Arjona,1992,,2012,
