movie_name,movie_date,award_year,award_category,award_winner
The Last Command,1927,1928,ACTOR,True
7th Heaven,1927,1928,ACTRESS,True
The Dove;,1927,1928,ART DIRECTION,True
Sunrise,1927,1928,CINEMATOGRAPHY,True
Two Arabian Knights,1927,1928,DIRECTING (Comedy Picture),True
7th Heaven,1927,1928,DIRECTING (Dramatic Picture),True
Wings,1927,1928,ENGINEERING EFFECTS,True
Wings,1927,1928,OUTSTANDING PICTURE,True
Sunrise,1927,1928,UNIQUE AND ARTISTIC PICTURE,True
7th Heaven,1927,1928,WRITING (Adaptation),True
Underworld,1927,1928,WRITING (Original Story),True
In Old Arizona,1928,1929,ACTOR,True
Coquette,1928,1929,ACTRESS,True
The Bridge of San Luis Rey,1928,1929,ART DIRECTION,True
White Shadows in the South Seas,1928,1929,CINEMATOGRAPHY,True
The Divine Lady,1928,1929,DIRECTING,True
The Broadway Melody,1928,1929,OUTSTANDING PICTURE,True
The Patriot,1928,1929,WRITING,True
Disraeli,1929,1930,ACTOR,True
The Divorcee,1929,1930,ACTRESS,True
King of Jazz,1929,1930,ART DIRECTION,True
With Byrd at the South Pole,1929,1930,CINEMATOGRAPHY,True
All Quiet on the Western Front,1929,1930,DIRECTING,True
All Quiet on the Western Front,1929,1930,OUTSTANDING PRODUCTION,True
The Big House,1929,1930,SOUND RECORDING,True
The Big House,1929,1930,WRITING,True
A Free Soul,1930,1931,ACTOR,True
Min and Bill,1930,1931,ACTRESS,True
Cimarron,1930,1931,ART DIRECTION,True
Tabu,1930,1931,CINEMATOGRAPHY,True
Skippy,1930,1931,DIRECTING,True
Cimarron,1930,1931,OUTSTANDING PRODUCTION,True
Cimarron,1930,1931,WRITING (Adaptation),True
The Dawn Patrol,1930,1931,WRITING (Original Story),True
The Champ,1931,1932,ACTOR,True
Dr. Jekyll and Mr. Hyde,1931,1932,ACTOR,True
The Sin of Madelon Claudet,1931,1932,ACTRESS,True
Transatlantic,1931,1932,ART DIRECTION,True
Shanghai Express,1931,1932,CINEMATOGRAPHY,True
Bad Girl,1931,1932,DIRECTING,True
Grand Hotel,1931,1932,OUTSTANDING PRODUCTION,True
Flowers and Trees,1931,1932,SHORT SUBJECT (Cartoon),True
The Music Box,1931,1932,SHORT SUBJECT (Comedy),True
