award_year,person_name,award_category,award_winner
1949,John Huston,Best Director,True
1961,Billy Wilder,Best Director,True
1979,Michael Cimino,Best Director,True
2009,Danny Boyle,Best Director,True
1953,Gary Cooper,Best Actor,True
1994,Tom Hanks,Best Actor,True
1943,Van Heflin,Best Supporting Actor,True
1969,Jack Albertson,Best Supporting Actor,True
1977,Jason Robards,Best Supporting Actor,True
1999,James Coburn,Best Supporting Actor,True
1941,Ginger Rogers,Best Actress,True
1958,Joanne Woodward,Best Actress,True
1967,Elizabeth Taylor,Best Actress,True
1970,Maggie Smith,Best Actress,True
1977,Faye Dunaway,Best Actress,True
1999,Gwyneth Paltrow,Best Actress,True
2005,Hilary Swank,Best Actress,True
1942,Mary Astor,Best Supporting Actress,True
1946,Anne Revere,Best Supporting Actress,True
1976,Lee Grant,Best Supporting Actress,True
2000,Angelina Jolie,Best Supporting Actress,True
2001,Marcia Gay Harden,Best Supporting Actress,True
2006,Rachel Weisz,Best Supporting Actress,True
2010,Mo'Nique,Best Supporting Actress,True
1928,Emil Jannings,ACTOR,True
1928,Janet Gaynor,ACTRESS,True
1928,William Cameron Menzies,ART DIRECTION,True
1928,Charles Rosher,CINEMATOGRAPHY,True
1928,Karl Struss,CINEMATOGRAPHY,True
1928,Lewis Milestone,DIRECTING (Comedy Picture),True
1928,Frank Borzage,DIRECTING (Dramatic Picture),True
1928,Roy Pomeroy,ENGINEERING EFFECTS,True
1928,Paramount Famous Lasky,OUTSTANDING PICTURE,True
1928,Fox,UNIQUE AND ARTISTIC PICTURE,True
1928,Benjamin Glazer,WRITING (Adaptation),True
1928,Ben Hecht,WRITING (Original Story),True
1928,Joseph Farnham,WRITING (Title Writing),True
1928,Warner Bros.,SPECIAL AWARD,True
1928,Charles Chaplin,SPECIAL AWARD,True
1929,Warner Baxter,ACTOR,True
1929,Mary Pickford,ACTRESS,True
1929,Cedric Gibbons,ART DIRECTION,True
1929,Clyde De Vinna,CINEMATOGRAPHY,True
1929,Frank Lloyd,DIRECTING,True
1929,Metro-Goldwyn-Mayer,OUTSTANDING PICTURE,True
1930,George Arliss,ACTOR,True
1930,Norma Shearer,ACTRESS,True
1930,Herman Rosse,ART DIRECTION,True
1930,Joseph T. Rucker,CINEMATOGRAPHY,True
1930,Willard Van Der Veer,CINEMATOGRAPHY,True
1930,Lewis Milestone,DIRECTING,True
1930,Universal,OUTSTANDING PRODUCTION,True
1930,Metro-Goldwyn-Mayer Studio Sound Department,SOUND RECORDING,True
1930,Douglas Shearer,SOUND RECORDING,True
1930,Sound Director,SOUND RECORDING,True
1930,Frances Marion,WRITING,True
1931,Lionel Barrymore,ACTOR,True
1931,Marie Dressler,ACTRESS,True
1931,Max Rée,ART DIRECTION,True
1931,Floyd Crosby,CINEMATOGRAPHY,True
1931,Norman Taurog,DIRECTING,True
1931,RKO Radio,OUTSTANDING PRODUCTION,True
1931,Paramount Publix Studio Sound Department,SOUND RECORDING,True
1931,Howard Estabrook,WRITING (Adaptation),True
1931,John Monk Saunders,WRITING (Original Story),True
1932,Wallace Beery,ACTOR,True
1932,Fredric March,ACTOR,True
1932,Helen Hayes,ACTRESS,True
1932,Gordon Wiles,ART DIRECTION,True
1932,Lee Garmes,CINEMATOGRAPHY,True
1932,Frank Borzage,DIRECTING,True
1932,Walt Disney,SHORT SUBJECT (Cartoon),True
1932,Producer,SHORT SUBJECT (Cartoon),True
1932,Hal Roach,SHORT SUBJECT (Comedy),True
1932,Mack Sennett,SHORT SUBJECT (Novelty),True
1932,Producer,SHORT SUBJECT (Novelty),True
1932,Paramount Publix Studio Sound Department,SOUND RECORDING,True
1932,Edwin Burke,WRITING (Adaptation),True
1932,Frances Marion,WRITING (Original Story),True
1932,"Walt Disney for the creation of ""Mickey Mouse.""",SPECIAL AWARD,True
1933,Charles Laughton,ACTOR,True
1933,Katharine Hepburn,ACTRESS,True
1933,William S. Darling,ART DIRECTION,True
1933,William Tummel (Fox),ASSISTANT DIRECTOR,True
1933,Charles Dorian (Metro-Goldwyn-Mayer),ASSISTANT DIRECTOR,True
1933,Charles Barton (Paramount),ASSISTANT DIRECTOR,True
1933,Dewey Starkey (RKO Radio),ASSISTANT DIRECTOR,True
1933,Fred Fox (United Artists),ASSISTANT DIRECTOR,True
1933,Scott Beal (Universal),ASSISTANT DIRECTOR,True
1933,Gordon Hollingshead (Warner Bros.),ASSISTANT DIRECTOR,True
1933,Charles Bryant Lang,CINEMATOGRAPHY,True
1933,Jr.,CINEMATOGRAPHY,True
1933,Frank Lloyd,DIRECTING,True
1933,Fox,OUTSTANDING PRODUCTION,True
1933,Joe Rock,SHORT SUBJECT (Novelty),True
1933,Producer,SHORT SUBJECT (Novelty),True
1933,Paramount Studio Sound Department,SOUND RECORDING,True
1933,Franklin B. Hansen,SOUND RECORDING,True
1933,Sound Director,SOUND RECORDING,True
1933,Victor Heerman,WRITING (Adaptation),True
1933,Sarah Y. Mason,WRITING (Adaptation),True
1933,Robert Lord,WRITING (Original Story),True
1935,Clark Gable,ACTOR,True
1935,Claudette Colbert,ACTRESS,True
1935,Cedric Gibbons,ART DIRECTION,True
1935,Fredric Hope,ART DIRECTION,True
1935,John Waters,ASSISTANT DIRECTOR,True
1935,Victor Milner,CINEMATOGRAPHY,True
1935,Frank Capra,DIRECTING,True
1935,Conrad Nervig,FILM EDITING,True
1935,Columbia Studio Music Department,MUSIC (Scoring),True
1935,Louis Silvers,MUSIC (Scoring),True
1935,head of department  (Thematic Music by Victor Schertzinger and Gus Kahn),MUSIC (Scoring),True
1935,Music by Con Conrad,MUSIC (Song),True
1935,Lyrics by Herb Magidson,MUSIC (Song),True
1935,Columbia,OUTSTANDING PRODUCTION,True
1935,Walt Disney,SHORT SUBJECT (Cartoon),True
1935,Kenneth Macgowan,SHORT SUBJECT (Comedy),True
1935,Producer,SHORT SUBJECT (Comedy),True
1935,Stacy Woodard and Horace Woodard,SHORT SUBJECT (Novelty),True
1935,Producers,SHORT SUBJECT (Novelty),True
1935,Columbia Studio Sound Department,SOUND RECORDING,True
1935,John Livadary,SOUND RECORDING,True
1935,Robert Riskin,WRITING (Adaptation),True
1935,Arthur Caesar,WRITING (Original Story),True
1935,Shirley Temple,SPECIAL AWARD,True
1936,Victor McLaglen,ACTOR,True
1936,Bette Davis,ACTRESS,True
1936,Richard Day,ART DIRECTION,True
1936,Clem Beauchamp,ASSISTANT DIRECTOR,True
1936,Paul Wing,ASSISTANT DIRECTOR,True
1936,Hal Mohr,CINEMATOGRAPHY,True
1936,Dave Gould,DANCE DIRECTION,True
1936,John Ford,DIRECTING,True
1936,Ralph Dawson,FILM EDITING,True
1936,RKO Radio Studio Music Department,MUSIC (Scoring),True
1936,Max Steiner,MUSIC (Scoring),True
1936,head of department  (Score by Max Steiner),MUSIC (Scoring),True
