movie_name,movie_genre,movie_side_genre
The Shawshank Redemption,Drama,
The Godfather,Crime,
The Dark Knight,Action,
The Godfather Part II,Crime,
12 Angry Men,Crime,
Schindler's List,Biography,
The Lord of the Rings: The Return of the King,Action,
Pulp Fiction,Crime,
The Lord of the Rings: The Fellowship of the Ring,Action,
The Good,Adventure,
 the Bad and the Ugly,Adventure,
Forrest Gump,Drama,
Fight Club,Drama,
The Lord of the Rings: The Two Towers,Action,
Inception,Action,
Star Wars: Episode V - The Empire Strikes Back,Action,
The Matrix,Action,
Goodfellas,Biography,
One Flew Over the Cuckoo's Nest,Drama,
Se7en,Crime,
Seven Samurai,Action,
It's a Wonderful Life,Drama,
The Silence of the Lambs,Crime,
City of God,Crime,
Saving Private Ryan,Drama,
Interstellar,Adventure,
Life Is Beautiful,Comedy,
The Green Mile,Crime,
Star Wars: Episode IV - A New Hope,Action,
Terminator 2: Judgment Day,Action,
Back to the Future,Adventure,
Spirited Away,Animation,
The Pianist,Biography,
Psycho,Horror,
Parasite,Drama,
Léon: The Professional,Action,
The Lion King,Animation,
Gladiator,Action,
American History X,Crime,
The Departed,Crime,
The Usual Suspects,Crime,
The Prestige,Drama,
Whiplash,Drama,
Casablanca,Drama,
Grave of the Fireflies,Animation,
Harakiri,Action,
The Intouchables,Biography,
Modern Times,Comedy,
Once Upon a Time in the West,Western,
Rear Window,Mystery,
Cinema Paradiso,Drama,
Alien,Horror,
City Lights,Comedy,
Apocalypse Now,Drama,
Memento,Mystery,
Django Unchained,Drama,
Indiana Jones and the Raiders of the Lost Ark,Action,
WALL·E,Animation,
The Lives of Others,Drama,
Sunset Blvd.,Drama,
Paths of Glory,Drama,
The Shining,Drama,
The Great Dictator,Comedy,
Avengers: Infinity War,Action,
Witness for the Prosecution,Crime,
Aliens,Action,
Spider-Man: Into the Spider-Verse,Animation,
American Beauty,Drama,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,
The Dark Knight Rises,Action,
Oldboy,Action,
Inglourious Basterds,Adventure,
Amadeus,Biography,
Coco,Animation,
Toy Story,Animation,
Joker,Crime,
Braveheart,Biography,
The Boat,Drama,
Avengers: Endgame,Action,
Princess Mononoke,Animation,
Once Upon a Time in America,Crime,
Good Will Hunting,Drama,
Your Name.,Animation,
3 Idiots,Comedy,
Singin' in the Rain,Comedy,
Requiem for a Dream,Drama,
Toy Story 3,Animation,
High and Low,Crime,
Capernaum,Drama,
Star Wars: Episode VI - Return of the Jedi,Action,
Eternal Sunshine of the Spotless Mind,Drama,
2001: A Space Odyssey,Adventure,
Reservoir Dogs,Crime,
Come and See,Drama,
The Hunt,Drama,
Citizen Kane,Drama,
M,Crime,
Lawrence of Arabia,Adventure,
North by Northwest,Action,
Vertigo,Mystery,
Ikiru,Drama,
Amélie,Comedy,
The Apartment,Comedy,
A Clockwork Orange,Crime,
Double Indemnity,Crime,
Full Metal Jacket,Drama,
Top Gun: Maverick,Action,
Scarface,Crime,
Hamilton,Biography,
Incendies,Drama,
To Kill a Mockingbird,Crime,
Heat,Action,
The Sting,Comedy,
Up,Animation,
A Separation,Drama,
Metropolis,Drama,
Taxi Driver,Crime,
L.A. Confidential,Crime,
Die Hard,Action,
Snatch,Comedy,
Indiana Jones and the Last Crusade,Action,
Bicycle Thieves,Drama,
Like Stars on Earth,Drama,
1917,Action,
Downfall,Biography,
Dangal,Action,
For a Few Dollars More,Western,
Batman Begins,Action,
The Kid,Comedy,
Some Like It Hot,Comedy,
The Father,Drama,
All About Eve,Drama,
The Wolf of Wall Street,Biography,
Green Book,Biography,
Judgment at Nuremberg,Drama,
Casino,Crime,
Ran,Action,
Pan's Labyrinth,Drama,
The Truman Show,Comedy,
There Will Be Blood,Drama,
Unforgiven,Drama,
The Sixth Sense,Drama,
Shutter Island,Mystery,
A Beautiful Mind,Biography,
Jurassic Park,Action,
Yojimbo,Action,
The Treasure of the Sierra Madre,Adventure,
Monty Python and the Holy Grail,Adventure,
The Great Escape,Adventure,
No Country for Old Men,Crime,
Spider-Man: No Way Home,Action,
Kill Bill: Vol. 1,Action,
Rashomon,Crime,
The Thing,Horror,
Finding Nemo,Animation,
The Elephant Man,Biography,
Chinatown,Drama,
Raging Bull,Biography,
V for Vendetta,Action,
Gone with the Wind,Drama,
Lock,Action,
 Stock and Two Smoking Barrels,Action,
Inside Out,Animation,
Dial M for Murder,Crime,
The Secret in Their Eyes,Drama,
Howl's Moving Castle,Animation,
Three Billboards Outside Ebbing,Comedy,
 Missouri,Comedy,
The Bridge on the River Kwai,Adventure,
Trainspotting,Drama,
Prisoners,Crime,
Warrior,Action,
Fargo,Crime,
Gran Torino,Drama,
My Neighbor Totoro,Animation,
Catch Me If You Can,Biography,
Million Dollar Baby,Drama,
Children of Heaven,Drama,
Blade Runner,Action,
The Gold Rush,Adventure,
Before Sunrise,Drama,
12 Years a Slave,Biography,
Klaus,Animation,
Harry Potter and the Deathly Hallows: Part 2,Adventure,
On the Waterfront,Crime,
Ben-Hur,Adventure,
Gone Girl,Drama,
The Grand Budapest Hotel,Adventure,
Wild Strawberries,Drama,
The General,Action,
The Third Man,Film-Noir,
In the Name of the Father,Biography,
The Deer Hunter,Drama,
Barry Lyndon,Adventure,
Hacksaw Ridge,Biography,
The Wages of Fear,Adventure,
Memories of Murder,Crime,
Sherlock Jr.,Action,
Wild Tales,Comedy,
Mr. Smith Goes to Washington,Comedy,
Mad Max: Fury Road,Action,
The Seventh Seal,Drama,
Mary and Max,Animation,
How to Train Your Dragon,Animation,
Room,Drama,
Monsters,Animation,
 Inc.,Animation,
Jaws,Adventure,
Dead Poets Society,Comedy,
The Big Lebowski,Comedy,
Tokyo Story,Drama,
The Passion of Joan of Arc,Biography,
Hotel Rwanda,Biography,
Ford v Ferrari,Action,
Rocky,Drama,
Platoon,Drama,
Ratatouille,Animation,
Spotlight,Biography,
The Terminator,Action,
Logan,Action,
Stand by Me,Adventure,
Rush,Action,
Network,Drama,
Into the Wild,Adventure,
Before Sunset,Drama,
The Wizard of Oz,Adventure,
Pather Panchali,Drama,
Groundhog Day,Comedy,
The Best Years of Our Lives,Drama,
The Exorcist,Horror,
The Incredibles,Animation,
To Be or Not to Be,Comedy,
La haine,Crime,
The Battle of Algiers,Drama,
Pirates of the Caribbean: The Curse of the Black Pearl,Action,
Hachi: A Dog's Tale,Biography,
The Grapes of Wrath,Drama,
Jai Bhim,Crime,
My Father and My Son,Drama,
Amores Perros,Drama,
Rebecca,Drama,
Cool Hand Luke,Crime,
The Handmaiden,Drama,
The 400 Blows,Crime,
The Sound of Music,Biography,
It Happened One Night,Comedy,
Persona,Drama,
Life of Brian,Comedy,
The Iron Giant,Animation,
The Help,Drama,
Dersu Uzala,Adventure,
Aladdin,Animation,
Gandhi,Biography,
Dances with Wolves,Adventure,
Kantara,Action, Adventure
The Empire Strikes Back,Action, Adventure
Star Wars,Action, Adventure
Seppuku,Action, Drama
Shichinin no samurai,Action, Drama
Kaithi,Action, Adventure
Asuran,Action, Drama
Sita Ramam,Action, Drama
Léon,Action, Crime
Vikram,Action, Thriller
K.G.F: Chapter 2,Action, Crime
Shershaah,Action, Biography
Oldeuboi,Action, Drama
Mononoke-hime,Animation, Action
Raiders of the Lost Ark,Action, Adventure
Vikram Vedha,Action, Crime
Major,Action, Biography
Uri: The Surgical Strike,Action, Drama
K.G.F: Chapter 1,Action, Crime
Dag II,Action, Drama
Baahubali 2: The Conclusion,Action, Drama
Gangs of Wasseypur,Action, Comedy
Paan Singh Tomar,Action, Biography
Kimetsu no Yaiba: Mugen Ressha-Hen,Animation, Action
Yôjinbô,Action, Drama
Everything Everywhere All at Once,Action, Adventure
Bajrangi Bhaijaan,Action, Adventure
A Wednesday,Action, Crime
Hera Pheri,Action, Comedy
Sarfarosh,Action, Drama
Sholay,Action, Adventure
Kakushi-toride no san-akunin,Action, Adventure
White Heat,Action, Crime
RRR (Rise Roar Revolt),Action, Drama
Arjun Reddy,Action, Drama
Kaththi,Action, Drama
Haider,Action, Crime
Bãhubali: The Beginning,Action, Drama
1 - Nenokkadine,Action, Thriller
Thuppakki,Action, Thriller
Guardians of the Galaxy,Action, Adventure
Blade Runner 2049,Action, Drama
The Revenant,Action, Adventure
Tropa de Elite 2: O Inimigo Agora é Outro,Action, Crime
Deadpool,Action, Adventure
Karthikeya 2,Action, Adventure
Zack Snyder's Justice League,Action, Adventure
Ip Man,Action, Biography
Nefes: Vatan Sagolsun,Action, Drama
Dune: Part One,Action, Adventure
Tropa de Elite,Action, Crime
The Avengers,Action, Adventure
The Bourne Ultimatum,Action, Mystery
Taegukgi hwinalrimyeo,Action, Drama
Casino Royale,Action, Adventure
Kill Bill: Vol. 2,Action, Crime
Mou gaan dou,Action, Crime
Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo,Animation, Action
 kimi ni,Animation, Action
Andaz Apna Apna,Action, Comedy
Akira,Animation, Action
Sanjuro,Action, Drama
Minnal Murali,Action, Adventure
Airlift,Action, Drama
Baby,Action, Crime
Thor: Ragnarok,Action, Adventure
Serbuan maut 2: Berandal,Action, Crime
Vishwaroopam,Action, Thriller
X-Men: Days of Future Past,Action, Adventure
The Batman,Action, Crime
Edge of Tomorrow,Action, Adventure
District 9,Action, Sci-Fi
Star Trek,Action, Adventure
Letters from Iwo Jima,Action, Adventure
Iron Man,Action, Adventure
Ying xiong,Action, Adventure
The Bourne Identity,Action, Mystery
Children of Men,Action, Drama
Wo hu cang long,Action, Adventure
Knockin' on Heaven's Door,Action, Crime
Kôkaku Kidôtai,Animation, Action
The Blues Brothers,Action, Adventure
The Wild Bunch,Action, Adventure
Per un pugno di dollari,Action, Drama
The Adventures of Robin Hood,Action, Adventure
The Gentlemen,Action, Comedy
Doragon bôru chô: Burorî,Animation, Action
Dunkirk,Action, Drama
Rogue One,Action, Adventure
Captain America: Civil War,Action, Adventure
Star Wars: Episode VII - The Force Awakens,Action, Adventure
Big Hero 6,Animation, Action
Captain America: The Winter Soldier,Action, Adventure
How to Train Your Dragon 2,Animation, Action
Ang-ma-reul bo-at-da,Action, Crime
Captain Phillips,Action, Biography
Thirteen Lives,Action, Adventure
Chugyeokja,Action, Crime
Skyfall,Action, Adventure
The Fighter,Action, Biography
Taken,Action, Crime
Drive,Action, Drama
Avatar,Action, Adventure
Apocalypto,Action, Adventure
Hot Fuzz,Action, Comedy
Serenity,Action, Adventure
The Last Samurai,Action, Drama
Cowboy Bebop: Tengoku no tobira,Animation, Action
Gongdong gyeongbi guyeok JSA,Action, Drama
Jûbê ninpûchô,Animation, Action
The Fugitive,Action, Crime
Batman: Mask of the Phantasm,Animation, Action
Dip huet seung hung,Action, Crime
Predator,Action, Adventure
Ghostbusters,Action, Comedy
Aguirre,Action, Adventure
 der Zorn Gottes,Action, Adventure
Raazi,Action, Drama
Deadpool 2,Action, Adventure
Mission: Impossible - Fallout,Action, Adventure
Udta Punjab,Action, Crime
Kubo and the Two Strings,Animation, Action
Kingsman: The Secret Service,Action, Adventure
Ajeossi,Action, Crime
The Lego Movie,Animation, Action
Star Trek Into Darkness,Action, Adventure
X: First Class,Action, Adventure
3:10 to Yuma,Action, Crime
Kung fu,Action, Comedy
The Bourne Supremacy,Action, Mystery
Man on Fire,Action, Crime
Black Hawk Down,Action, Drama
The Count of Monte Cristo,Action, Adventure
Minority Report,Action, Crime
The Boondock Saints,Action, Thriller
Training Day,Action, Crime
Lola rennt,Action, Crime
The Last of the Mohicans,Action, Adventure
Lat sau san taam,Action, Crime
Star Trek II: The Wrath of Khan,Action, Adventure
First Blood,Action, Adventure
Badlands,Action, Crime
The French Connection,Action, Crime
Dirty Harry,Action, Crime
The Dirty Dozen,Action, Adventure
Bonnie and Clyde,Action, Biography
Goldfinger,Action, Adventure
The Longest Day,Action, Drama
The Magnificent Seven,Action, Adventure
Key Largo,Action, Crime
Pushpa: The Rise - Part 1,Action, Adventure
Ölümlü Dünya,Action, Comedy
Ludo,Action, Comedy
Busanhaeng,Action, Horror
Hotel Mumbai,Action, Drama
Guardians of the Galaxy Vol. 2,Action, Adventure
Baby Driver,Action, Crime
Only the Brave,Action, Biography
Incredibles 2,Animation, Action
Sicario,Action, Crime
Creed,Action, Drama
Dawn of the Planet of the Apes,Action, Adventure
El cuerpo,Action, Crime
Serbuan maut,Action, Crime
End of Watch,Action, Adventure
Rise of the Planet of the Apes,Action, Drama
Kick-Ass,Action, Comedy
Celda 211,Action, Crime
Zombieland,Action, Comedy
Sherlock Holmes,Action, Adventure
United 93,Action, Drama
Huo Yuan Jia,Action, Biography
Kung Fu Panda,Animation, Action
Harry Potter and the Half-Blood Prince,Action, Adventure
300,Action, Drama
Watchmen,Action, Drama
Batoru rowaiaru,Action, Adventure
Vampire Hunter D: Bloodlust,Animation, Action
Enemy at the Gates,Action, Drama
Star Wars: Episode III - Revenge of the Sith,Action, Adventure
The Fifth Element,Action, Adventure
Star Trek: First Contact,Action, Adventure
Die Hard: With a Vengeance,Action, Adventure
Falling Down,Action, Crime
RoboCop,Action, Crime
Lethal Weapon,Action, Crime
Mad Max 2,Action, Adventure
Rupan sansei: Kariosutoro no shiro,Animation, Action
Escape from Alcatraz,Action, Biography
The Taking of Pelham One Two Three,Action, Crime
Enter the Dragon,Action, Crime
Where Eagles Dare,Action, Adventure
Tanhaji: The Unsung Warrior,Action, Biography
Upgrade,Action, Sci-Fi
Mersal,Action, Thriller
Fury,Action, Drama
The Hunger Games: Catching Fire,Action, Adventure
Delhi Belly,Action, Comedy
Waar,Action, Crime
Hodejegerne,Action, Crime
Jûsan-nin no shikaku,Action, Adventure
Yip Man 2,Action, Biography
L'instinct de mort,Action, Biography
Doctor Strange,Action, Adventure
Retfærdighedens ryttere,Action, Comedy
Lone Survivor,Action, Biography
Source Code,Action, Drama
Grindhouse,Action, Horror
Dalkomhan insaeng,Action, Crime
Jodhaa Akbar,Action, Drama
Scott Pilgrim vs. the World,Action, Comedy
