movie_name,movie_date,movie_rating,movie_genre,movie_censor,budget,revenue
The Shawshank Redemption,1994-01-01,9.3,Drama,R,25000000.0,
The Godfather,1972-01-01,9.2,Crime,R,6000000.0,
The Dark Knight,2008-01-01,9.0,Action,PG-13,185000000.0,
The Godfather Part II,1974-01-01,9.0,Crime,R,6000000.0,
12 Angry Men,1957-01-01,9.0,Crime,Approved,340000.0,
Schindler's List,1993-01-01,9.0,Biography,R,,
The Lord of the Rings: The Return of the King,2003-01-01,9.0,Action,PG-13,94000000.0,
Pulp Fiction,1994-01-01,8.9,Crime,R,8000000.0,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,8.8,Action,PG-13,93000000.0,
"The Good, the Bad and the Ugly",1966-01-01,8.8,Adventure,Approved,1200000.0,
Forrest Gump,1994-01-01,8.8,Drama,PG-13,55000000.0,
Fight Club,1999-01-01,8.8,Drama,R,63000000.0,
The Lord of the Rings: The Two Towers,2002-01-01,8.8,Action,PG-13,94000000.0,
Inception,2010-01-01,8.8,Action,PG-13,160000000.0,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,8.7,Action,PG,,
The Matrix,1999-01-01,8.7,Action,R,63000000.0,
Goodfellas,1990-01-01,8.7,Biography,R,25000000.0,
One Flew Over the Cuckoo's Nest,1975-01-01,8.7,Drama,18+,3000000.0,
Se7en,1995-01-01,8.6,Crime,R,,
Seven Samurai,1954-01-01,8.6,Action,Not Rated,210000000.0,
It's a Wonderful Life,1946-01-01,8.6,Drama,PG,3180000.0,
The Silence of the Lambs,1991-01-01,8.6,Crime,R,19000000.0,
City of God,2002-01-01,8.6,Crime,R,3300000.0,
City of God,2002-01-01,8.6,Crime,R,3300000.0,
Saving Private Ryan,1998-01-01,8.6,Drama,R,70000000.0,
Interstellar,2014-01-01,8.6,Adventure,PG-13,,
Life Is Beautiful,1997-01-01,8.6,Comedy,PG-13,,
Life Is Beautiful,1997-01-01,8.6,Comedy,PG-13,,
The Green Mile,1999-01-01,8.6,Crime,R,60000000.0,
Star Wars: Episode IV - A New Hope,1977-01-01,8.6,Action,PG,,
Terminator 2: Judgment Day,1991-01-01,8.6,Action,R,102000000.0,
Back to the Future,1985-01-01,8.5,Adventure,PG,,
Spirited Away,2001-01-01,8.6,Animation,PG,2000000000.0,
Spirited Away,2001-01-01,8.6,Animation,PG,2000000000.0,
The Pianist,2002-01-01,8.5,Biography,R,35000000.0,
Psycho,1960-01-01,8.5,Horror,R,800000.0,
Psycho,1960-01-01,8.5,Horror,R,800000.0,
Parasite,2019-01-01,8.5,Drama,R,,
Parasite,2019-01-01,8.5,Drama,R,,
Léon: The Professional,1994-01-01,8.5,Action,R,16000000.0,
The Lion King,1994-01-01,8.5,Animation,G,45000000.0,
The Lion King,1994-01-01,8.5,Animation,G,45000000.0,
Gladiator,2000-01-01,8.5,Action,R,103000000.0,
Gladiator,2000-01-01,8.5,Action,R,103000000.0,
American History X,1998-01-01,8.5,Crime,R,,
The Departed,2006-01-01,8.5,Crime,R,90000000.0,
The Usual Suspects,1995-01-01,8.5,Crime,R,,
The Prestige,2006-01-01,8.5,Drama,PG-13,40000000.0,
Whiplash,2014-01-01,8.5,Drama,R,,
Casablanca,1942-01-01,8.5,Drama,PG,,
Casablanca,1942-01-01,8.5,Drama,PG,,
Grave of the Fireflies,1988-01-01,8.5,Animation,Not Rated,,
Harakiri,1962-01-01,8.6,Action,Not Rated,,
The Intouchables,2011-01-01,8.5,Biography,R,11500000.0,
Modern Times,1936-01-01,8.5,Comedy,G,1500000.0,
Once Upon a Time in the West,1968-01-01,8.5,Western,PG-13,5000000.0,
Rear Window,1954-01-01,8.5,Mystery,PG,1000000.0,
Cinema Paradiso,1988-01-01,8.5,Drama,PG,5000000.0,
Cinema Paradiso,1988-01-01,8.5,Drama,PG,5000000.0,
Alien,1979-01-01,8.5,Horror,R,11000000.0,
City Lights,1931-01-01,8.5,Comedy,G,1500000.0,
Apocalypse Now,1979-01-01,8.5,Drama,R,31500000.0,
Memento,2000-01-01,8.4,Mystery,R,9000000.0,
Memento,2000-01-01,8.4,Mystery,R,9000000.0,
Django Unchained,2012-01-01,8.4,Drama,R,100000000.0,
Indiana Jones and the Raiders of the Lost Ark,1981-01-01,8.4,Action,PG,,
WALL·E,2008-01-01,8.4,Animation,G,,
The Lives of Others,2006-01-01,8.4,Drama,R,,
Sunset Blvd.,1950-01-01,8.4,Drama,Passed,,
Paths of Glory,1957-01-01,8.4,Drama,Approved,935000.0,
The Shining,1980-01-01,8.4,Drama,R,19000000.0,
The Great Dictator,1940-01-01,8.4,Comedy,G,2000000.0,
Avengers: Infinity War,2018-01-01,8.4,Action,PG-13,400000000.0,
Witness for the Prosecution,1957-01-01,8.4,Crime,Approved,,
Aliens,1986-01-01,8.4,Action,R,11000000.0,
Spider-Man: Into the Spider-Verse,2018-01-01,8.4,Animation,PG,90000000.0,
American Beauty,1999-01-01,8.4,Drama,R,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-01,8.4,Comedy,PG,,
