person_name,person_dateofbirth,person_bio,person_race,person_religion,person_sexualorientation,person_birthplace
Lewis Milestone,,http://www.nndb.com/people/320/000043191/,White,Na,Straight,Chisinau
Frank Lloyd,,http://www.nndb.com/people/626/000042500/,White,Na,Straight,Glasgow
Norman Taurog,,http://www.nndb.com/people/544/000041421/,White,Na,Straight,Chicago
Frank Borzage,,http://www.nndb.com/people/292/000044160/,White,Roman Catholic,Straight,Salt Lake City
Frank Capra,,http://www.nndb.com/people/459/000032363/,White,Roman Catholic,Straight,Bisacquino
John Ford,,http://www.nndb.com/people/458/000032362/,White,Roman Catholic,Bisexual,Cape Elizabeth
Leo McCarey,,http://www.nndb.com/people/380/000044248/,White,Na,Straight,Los Angeles
Victor Fleming,,http://www.nndb.com/people/416/000041293/,White,Na,Straight,Pasadena
William Wyler,,http://www.nndb.com/people/463/000032367/,White,Na,Straight,Mulhouse
Michael Curtiz,,http://www.nndb.com/people/676/000032580/,White,Na,Straight,Budapest
Jerome Robbins,,http://www.nndb.com/people/281/000064089/,White,Jewish,Gay,New York City
Billy Wilder,,http://www.nndb.com/people/982/000024910/,White,Jewish,Straight,Sucha
Elia Kazan,,http://www.nndb.com/people/537/000026459/,White,Na,Straight,Istanbul
John Huston,,http://www.nndb.com/people/704/000024632/,White,Na,Straight,Nevada
Joseph L. Mankiewicz,,http://www.nndb.com/people/723/000032627/,White,Jewish,Straight,Wilkes-Barre
George Stevens,,http://www.nndb.com/people/382/000044250/,White,Na,Straight,Oakland
Fred Zinnemann,,http://www.nndb.com/people/538/000032442/,White,Jewish,Straight,Vienna
Delbert Mann,,http://www.nndb.com/people/384/000044252/,White,Presbyterian,Straight,Lawrence
David Lean,,http://www.nndb.com/people/462/000032366/,White,Na,Straight,Croydon
Vincente Minnelli,,http://www.nndb.com/people/825/000032729/,White,Na,Bisexual,Chicago
Robert Wise,,http://www.nndb.com/people/460/000032364/,White,Na,Straight,Winchester
Tony Richardson,,http://www.nndb.com/people/249/000043120/,White,Na,Bisexual,Shipley
George Cukor,,http://www.nndb.com/people/373/000041250/,White,Na,Gay,New York City
Mike Nichols,,http://www.nndb.com/people/455/000023386/,White,Jewish,Straight,Berlin
Joel Coen,,http://www.nndb.com/people/399/000025324/,White,Jewish,Straight,St. Louis Park
Carol Reed,,http://www.nndb.com/people/290/000064098/,White,Na,Straight,London
John Schlesinger,,http://www.nndb.com/people/771/000032675/,White,Na,Gay,London
Franklin J. Schaffner,,http://www.nndb.com/people/509/000032413/,White,Na,Straight,Tokyo
William Friedkin,,http://www.nndb.com/people/112/000024040/,White,Jewish,Straight,Chicago
